1.34.2.110       #AS3462    1.34.0.0/16        TW   HINET - Data Communication Business Group, TW
45.194.92.67     #AS215925  45.194.92.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.92.80     #AS215925  45.194.92.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.92.81     #AS215925  45.194.92.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.194.92.82     #AS215925  45.194.92.0/24     SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.240     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.205.1.241     #AS215925  45.205.1.0/24      SC   VPSVAULTHOST - VPSVAULT.HOST LTD, GB
46.22.135.36     #AS39122   46.22.128.0/20     IE   BLACKNIGHT-AS - Blacknight Internet Solutions Limited, IE
47.91.72.158     #AS45102   47.91.64.0/20      US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.129.53.86     #AS16509   47.128.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
47.250.85.210    #AS45102   47.250.64.0/18     US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
47.251.100.78    #AS45102   47.251.0.0/17      US   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
50.3.85.42       #AS49532   50.3.84.0/22       US   SERVERHUB-NL - Eonix Corporation, US
50.116.26.218    #AS63949   50.116.16.0/20     US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
51.20.144.210    #AS16509   51.20.0.0/16       US   AMAZON-02 - Amazon.com, Inc., US
51.75.24.26      #AS16276   51.75.0.0/16       FR   OVH - OVH SAS, FR
52.15.153.107    #AS16509   52.15.128.0/17     US   AMAZON-02 - Amazon.com, Inc., US
52.248.42.241    #AS8075    52.224.0.0/11      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
62.77.130.76     #AS15566   62.77.130.0/24     HU   Infotechna - Infotechna Ltd., HU
62.210.89.150    #AS12876   62.210.0.0/16      FR   #AS12876 - Scaleway SAS, FR
64.62.156.75     #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.129    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.172    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.186    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.156.221    #AS6939    64.62.128.0/18     US   HURRICANE - Hurricane Electric LLC, US
64.62.194.196    #AS6939    64.62.128.0/17     US   HURRICANE - Hurricane Electric LLC, US
64.226.83.235    #AS14061   64.226.80.0/20     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
65.49.1.83       #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.164      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.212      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.232      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.1.236      #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
65.49.20.126     #AS6939    65.49.0.0/17       US   HURRICANE - Hurricane Electric LLC, US
66.132.172.236   #AS398324  66.132.172.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.243   #AS398324  66.132.186.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.253   #AS398324  66.132.186.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.17    #AS398324  66.132.224.0/24    US   CENSYS-ARIN-01 - Censys, Inc., US
69.5.169.52      #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.139     #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.196     #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.200     #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.244     #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.252     #AS25369   69.5.169.0/24      GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
71.6.199.23      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
71.6.233.2       #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
74.82.47.44      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
74.235.123.26    #AS8075    74.234.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
74.249.186.162   #AS8075    74.248.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
75.127.6.2       #AS36352   75.127.6.0/23      US   AS-COLOCROSSING - HostPapa, US
78.57.234.109    #AS8764    78.57.232.0/22     LT   Telia-Lietuva - Telia Lietuva, AB, LT
78.128.114.106   #AS50360   78.128.114.0/24    BG   TAMATIYA-AS - Tamatiya EOOD, BG
78.128.114.174   #AS50360   78.128.114.0/24    BG   TAMATIYA-AS - Tamatiya EOOD, BG
78.142.18.52     #AS213438  78.142.18.0/24     BG   colocatel-inc - ColocaTel Inc., SC
79.124.49.90     #AS50360   79.124.49.0/24     BG   TAMATIYA-AS - Tamatiya EOOD, BG
79.124.56.202    #AS50360   79.124.56.0/24     BG   TAMATIYA-AS - Tamatiya EOOD, BG
79.133.126.157   #AS199524  79.133.126.0/24    LU   GCORE - G-Core Labs S.A., LU
80.66.66.31      #AS209702  80.66.66.0/24      RU   SOLDATOV-AS - SOLDATOV ALEXEY VALEREVICH, KZ
80.82.77.33      #AS202425  80.82.77.0/24      NL   INT-NETWORK - IP Volume inc, SC
80.82.77.139     #AS202425  80.82.77.0/24      NL   INT-NETWORK - IP Volume inc, SC
82.147.85.62     #AS211860  82.147.84.0/23     RU   VPSDEDIC-AS - Nerushenko Vyacheslav Nikolaevich, RU
82.157.202.142   #AS45090   82.157.192.0/18    CN   TENCENT-NET-AP - Shenzhen Tencent Computer Systems Company Limited, CN
83.59.113.145    #AS3352    83.59.0.0/16       ES   Telefonica_de_EspaNa - TELEFONICA DE ESPANA S.A.U., ES
85.11.167.132    #AS197170  85.11.167.0/24     BG   TECHTIES-AS - TechTies Inc., SC
85.217.140.4     #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.6     #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.10    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.27    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.28    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.31    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.37    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.40    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.42    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.44    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.46    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.50    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.140.51    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.25    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.65    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.73    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
87.106.134.4     #AS8560    87.106.134.0/23    DE   IONOS-AS - IONOS SE, DE
89.248.163.168   #AS202425  89.248.163.0/24    NL   INT-NETWORK - IP Volume inc, SC
89.248.165.203   #AS202425  89.248.165.0/24    NL   INT-NETWORK - IP Volume inc, SC
91.34.40.215     #AS3320    91.0.0.0/10        DE   DTAG - Deutsche Telekom AG, DE
91.34.41.161     #AS3320    91.0.0.0/10        DE   DTAG - Deutsche Telekom AG, DE
91.196.152.112   #AS213412  91.196.152.0/24    FR   ONYPHE - ONYPHE SAS, FR
92.118.205.210   #AS136258  92.118.205.0/24    DE   ONEPROVIDER-AS - BrainStorm Network, Inc, CA
93.188.83.96     #AS8193    93.188.80.0/21     UZ   BRM-AS - _Uzbektelekom_ Joint Stock Company, UZ
94.154.43.87     #AS219502  94.154.43.0/24     UA   STORMCLOUD-AS - Storm Industries LLC, US
94.231.206.0     #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.8     #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.15    #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.128   #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.132   #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.248   #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
94.231.206.251   #AS213412  94.231.206.0/24    FR   ONYPHE - ONYPHE SAS, FR
95.154.78.255    #AS44724   95.154.72.0/21     RU   OCTOPUSNET-AS - Octopusnet LTD, RU
96.0.73.136      #AS16509   96.0.72.0/21       US   AMAZON-02 - Amazon.com, Inc., US
98.89.204.118    #AS14618   98.88.0.0/13       US   AMAZON-AES - Amazon.com, Inc., US
100.28.191.174   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.29.192.95    #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.49.117.77    #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
100.50.17.159    #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
103.153.157.13   #AS140941  103.153.157.0/24   PK   FULLTIMEHOSTING-AS-AP - Full Time Hosting, PK
103.203.57.16    #AS136180  103.203.57.0/24    CN   IPIP-CN - Beijing Tiantexin Tech. Co., Ltd., CN
103.250.242.52   #AS24226   103.250.240.0/22   NZ   CATALYST-NZ - Catalyst.Net Ltd, NZ
106.0.40.128     #AS24186   106.0.40.0/24      IN   RAILTEL-AS-IN - RailTel Corporation of India Ltd, IN
106.75.176.89    #AS58466   106.75.176.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
109.175.211.164  #AS51202   109.175.211.0/24   DE   NUXOA - NUXOA GmbH, DE
110.245.201.134  #AS4837    110.240.0.0/12     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
114.23.49.229    #AS56030   114.23.0.0/16      NZ   VOYAGERNET-AS-AP - Voyager Internet Ltd., NZ
115.231.78.10    #AS58461   115.231.78.0/24    CN   CT-HangZhou-IDC - No.288,Fu-chun Road, CN
118.123.1.31     #AS4134    118.120.0.0/14     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
118.130.99.202   #AS3786    118.128.0.0/14     KR   LGDACOM-KR - LG DACOM Corporation, KR
118.193.64.15    #AS135377  118.193.64.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
120.232.150.70   #AS9808    120.232.150.0/24   CN   CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
124.123.73.10    #AS55577   124.123.73.0/24    IN   CABLELITE-AS-AP - Atria Convergence Technologies Ltd.,, IN
125.179.160.25   #AS17858   125.176.0.0/14     KR   POWERVIS-AS-KR-KR - LG POWERCOMM, KR
129.150.39.236   #AS31898   129.150.32.0/19    US   ORACLE-BMC-31898 - Oracle Corporation, US
129.150.47.20    #AS31898   129.150.32.0/19    US   ORACLE-BMC-31898 - Oracle Corporation, US
129.150.54.249   #AS31898   129.150.32.0/19    US   ORACLE-BMC-31898 - Oracle Corporation, US
129.151.88.64    #AS31898   129.151.64.0/19    US   ORACLE-BMC-31898 - Oracle Corporation, US
129.213.151.234  #AS31898   129.213.144.0/21   US   ORACLE-BMC-31898 - Oracle Corporation, US
130.12.180.48    #AS202412  130.12.180.0/24    US   OMEGATECH-AS - Omegatech LTD, SC
131.123.43.5     #AS200019  131.123.43.0/24    MD   AlexHost - ALEXHOST SRL, MD
134.122.118.122  #AS14061   134.122.112.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
134.185.81.133   #AS31898   134.185.80.0/20    US   ORACLE-BMC-31898 - Oracle Corporation, US
134.199.210.216  #AS14061   134.199.208.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
136.110.71.120   #AS396982  136.110.64.0/18    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
137.184.226.118  #AS14061   137.184.224.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
139.144.239.72   #AS63949   139.144.232.0/21   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
141.98.11.8      #AS209605  141.98.11.0/24     LT   hostbaltic - UAB Host Baltic, LT
142.93.149.39    #AS14061   142.93.144.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
142.93.204.108   #AS14061   142.93.192.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
142.93.243.123   #AS14061   142.93.240.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
143.42.1.53      #AS63949   143.42.0.0/21      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
143.246.222.130  #AS200019  143.246.222.0/24   MD   AlexHost - ALEXHOST SRL, MD
144.24.19.233    #AS31898   144.24.0.0/18      SE   ORACLE-BMC-31898 - Oracle Corporation, US
144.126.213.150  #AS14061   144.126.208.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
144.225.124.188  #AS7488    144.225.124.0/24   US   CNSERVER-AP-AS - CNServer LLC, US
146.190.25.34    #AS14061   146.190.16.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
146.190.130.5    #AS14061   146.190.128.0/19   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
147.182.213.167  #AS14061   147.182.208.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
150.107.36.82    #AS135377  150.107.36.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
151.243.11.235   #AS209630  151.243.11.0/24    AE   KREDIT-AS - LLC VASH KREDIT BANK, UA
154.65.101.23    #AS37153   154.65.96.0/20     ZA   Xneelo (Pty) Ltd - Xneelo (Pty) Ltd, ZA
156.225.1.98     #AS9465    156.225.1.0/24     SC   AGOTOZPTELTD-AS-AP - AGOTOZ PTE. LTD., SG
158.94.211.230   #AS202412  158.94.211.0/24    TR   OMEGATECH-AS - Omegatech LTD, SC
159.65.191.190   #AS14061   159.65.176.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
159.65.206.235   #AS14061   159.65.192.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
159.203.67.164   #AS14061   159.203.64.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
160.119.76.137   #AS49870   160.119.76.0/23    SC   AS49870-BV - Alsycon B.V., NL
160.119.76.210   #AS49870   160.119.76.0/23    SC   AS49870-BV - Alsycon B.V., NL
161.35.155.10    #AS14061   161.35.144.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
162.216.149.130  #AS396982  162.216.149.0/24   US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
164.92.102.234   #AS14061   164.92.96.0/19     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
165.154.11.37    #AS135377  165.154.11.0/24    HK   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
165.232.117.238  #AS14061   165.232.112.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
165.232.182.138  #AS14061   165.232.176.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
166.0.106.156    #AS149440  166.0.106.0/24     US   EVOXTSDNBHD-AS-AP - Evoxt Sdn. Bhd., MY
167.94.145.23    #AS398705  167.94.145.0/24    US   CENSYS-ARIN-02 - Censys, Inc., US
167.94.145.28    #AS398705  167.94.145.0/24    US   CENSYS-ARIN-02 - Censys, Inc., US
167.94.145.29    #AS398705  167.94.145.0/24    US   CENSYS-ARIN-02 - Censys, Inc., US
167.172.89.195   #AS14061   167.172.80.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
167.172.157.17   #AS14061   167.172.144.0/20   US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
170.64.134.120   #AS14061   170.64.128.0/18    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
170.64.187.18    #AS14061   170.64.128.0/18    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
172.105.177.106  #AS63949   172.105.160.0/19   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
172.202.114.242  #AS8075    172.200.0.0/13     GB   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
172.232.162.92   #AS63949   172.232.160.0/19   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
172.237.136.85   #AS63949   172.237.128.0/19   US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
174.138.21.30    #AS14061   174.138.16.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
174.138.87.36    #AS14061   174.138.80.0/20    US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
175.204.227.35   #AS4766    175.200.0.0/13     KR   KIXS-AS-KR-KR - Korea Telecom, KR
176.58.82.77     #AS56911   176.58.80.0/21     IT   ASN-WARIAN - Warian S.R.L., IT
176.65.148.78    #AS51396   176.65.148.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.148.93    #AS51396   176.65.148.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.148.226   #AS51396   176.65.148.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.149.170   #AS51396   176.65.149.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.149.193   #AS51396   176.65.149.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.149.210   #AS51396   176.65.149.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.149.212   #AS51396   176.65.149.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.65.149.236   #AS51396   176.65.149.0/24    DE   PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
176.120.22.240   #AS198953  176.120.22.0/24    RU   proton66 - Proton66 OOO, RU
177.104.180.43   #AS53107   177.104.180.0/24   BR   AS53107 - EVEO S.A., BR
179.43.150.26    #AS51852   179.43.150.0/24    PA   PLI-AS - Private Layer INC, PA
180.149.125.212  #AS45204   180.149.112.0/20   MN   GEMNET-MN - GEMNET LLC, MN
180.149.125.236  #AS45204   180.149.112.0/20   MN   GEMNET-MN - GEMNET LLC, MN
180.169.128.242  #AS4812    180.169.0.0/16     CN   CHINANET-SH-AP - China Telecom (Group), CN
182.214.26.132   #AS17858   182.212.0.0/14     KR   POWERVIS-AS-KR-KR - LG POWERCOMM, KR
184.105.139.101  #AS6939    184.104.0.0/15     US   HURRICANE - Hurricane Electric LLC, US
185.12.59.118    #AS50304   185.12.56.0/22     NO   BLIX - Blix Solutions AS, NO
185.68.184.46    #AS41745   185.68.184.0/24    RU   FORTIS-AS - Baykov Ilya Sergeevich, RU
185.180.141.9    #AS21859   185.180.141.0/24   PT   ZEN-ECN - Zenlayer Inc, US
185.180.141.15   #AS21859   185.180.141.0/24   PT   ZEN-ECN - Zenlayer Inc, US
185.218.86.12    #AS218785  185.218.86.0/24    BG   
185.224.128.16   #AS49870   185.224.128.0/24   NL   #AS49870-BV - Alsycon B.V., NL
185.242.226.87   #AS202425  185.242.226.0/24   US   INT-NETWORK - IP Volume inc, SC
188.166.29.154   #AS14061   188.166.0.0/18     US   DIGITALOCEAN-ASN - DigitalOcean, LLC, US
192.140.188.51   #AS146817  192.140.188.0/22   CN   FXNET - Hubei Feixun Network Co., Ltd, CN
192.253.248.173  #AS213790  192.253.248.0/24   US   LimitedNetwork-AS - Limited Network LTD, GB
193.25.217.25    #AS219474  193.25.217.0/24    BG   GRAV-AS - GravHosting LLC, US
193.32.204.199   #AS153622  193.32.204.0/24    TR   MADINAIT-AS-AP - Madina IT, BD
193.124.20.232   #AS25369   193.124.20.0/23    GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
193.163.125.18   #AS211298  193.163.125.0/24   GB   DRIFTNET - Driftnet Ltd, GB
193.163.125.166  #AS211298  193.163.125.0/24   GB   DRIFTNET - Driftnet Ltd, GB
193.163.125.208  #AS211298  193.163.125.0/24   GB   DRIFTNET - Driftnet Ltd, GB
194.88.98.86     #AS25369   194.88.98.0/23     GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
194.164.107.6    #AS50219   194.164.107.0/24   US   VT-255-50219 - Valence Technology Co., US
194.180.48.45    #AS201814  194.180.48.0/24    BG   Mevspace - MEVSPACE sp. z o.o., PL
