1.55.123.125     #AS18403   1.55.123.0/24      VN   FPT-VN - FPT Telecom Company, VN
3.131.24.55      #AS16509   3.131.0.0/16       US   AMAZON-02 - Amazon.com, Inc., US
3.147.122.184    #AS16509   3.144.0.0/13       US   AMAZON-02 - Amazon.com, Inc., US
8.141.100.166    #AS37963   8.140.0.0/15       SG   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
8.221.136.6      #AS45102   8.221.128.0/18     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
8.222.181.172    #AS45102   8.222.128.0/18     SG   ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
14.18.118.84     #AS135089  14.18.112.0/21     CN   CHINANET-Guangzhou-Southbase-IDC - China Telecom, CN
14.116.219.149   #AS135089  14.116.192.0/19    CN   CHINANET-Guangzhou-Southbase-IDC - China Telecom, CN
16.5.0.132       #AS401661  16.5.0.0/24        US   EMBNEX-AS - EMBNEX, LLC, US
18.119.209.50    #AS16509   18.116.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
18.190.15.50     #AS16509   18.190.0.0/16      US   AMAZON-02 - Amazon.com, Inc., US
18.217.208.51    #AS16509   18.216.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
18.221.179.104   #AS16509   18.220.0.0/14      US   AMAZON-02 - Amazon.com, Inc., US
20.40.213.3      #AS8075    20.40.0.0/13       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.42.86.51      #AS8075    20.40.0.0/13       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.65.194.73     #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.115.64.50     #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.118.243.156   #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.127.166.55    #AS8075    20.64.0.0/10       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.150.194.49    #AS8075    20.150.0.0/15      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.122.30    #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.49.44     #AS8075    20.160.0.0/12      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
23.92.26.16      #AS63949   23.92.24.0/22      US   AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
34.52.228.176    #AS396982  34.52.128.0/17     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.72.207     #AS396982  34.76.64.0/20      US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.76.154.164    #AS396982  34.76.144.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.77.180.84     #AS396982  34.77.176.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.77.218.211    #AS396982  34.77.208.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.78.188.99     #AS396982  34.78.176.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.230.221.101   #AS14618   34.224.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
35.169.206.177   #AS14618   35.168.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
35.187.18.106    #AS396982  35.187.16.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.189.224.42    #AS396982  35.189.224.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.189.253.64    #AS396982  35.189.240.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.240.42.77     #AS396982  35.240.32.0/20     US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
35.241.204.3     #AS396982  35.241.192.0/20    US   GOOGLE-CLOUD-PLATFORM - Google LLC, US
36.133.212.147   #AS9808    36.133.212.0/24    CN   CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
36.134.27.91     #AS9808    36.134.27.0/24     CN   CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
36.139.84.140    #AS56046   36.139.84.0/24     CN   CMNET-Jiangsu-AP - China Mobile communications corporation, CN
36.153.158.186   #AS56046   36.153.152.0/21    CN   CMNET-Jiangsu-AP - China Mobile communications corporation, CN
36.189.82.46     #AS9808    36.189.64.0/18     CN   CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
39.105.202.192   #AS37963   39.104.0.0/15      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
39.106.130.159   #AS37963   39.106.0.0/15      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
39.106.141.167   #AS37963   39.106.0.0/15      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
39.107.103.199   #AS37963   39.106.0.0/15      CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
40.74.209.119    #AS8075    40.74.0.0/15       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.76.113.212    #AS8075    40.76.0.0/14       US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.174.247   #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
40.124.178.49    #AS8075    40.124.0.0/16      US   MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
