71.6.232.20      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
71.6.232.22      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
71.6.232.30      #AS10439   71.6.128.0/17      US   CARINET - CariNet, Inc., US
74.82.47.19      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
74.82.47.35      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
74.82.47.37      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
74.82.47.49      #AS6939    74.82.0.0/18       US   HURRICANE - Hurricane Electric LLC, US
79.124.56.210    #AS50360   79.124.56.0/24     BG   TAMATIYA-AS - Tamatiya EOOD, BG
81.19.216.111    #AS25369   81.19.216.0/24     GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
85.217.140.37    #AS209334  85.217.140.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.5     #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.58    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
85.217.149.65    #AS209334  85.217.149.0/24    NL   MODAT-01 - Modat B.V., NL
86.54.31.38      #AS12989   86.54.31.0/24      CA   BlackHOST - Black HOST Ltd, CA
89.37.172.155    #AS25369   89.37.172.0/22     GB   BANDWIDTH-AS - Hydra Communications Ltd, GB
91.92.40.87      #AS197170  91.92.40.0/24      BG   TECHTIES-AS - TechTies Inc., SC
91.208.197.227   #AS200019  91.208.197.0/24    MD   AlexHost - ALEXHOST SRL, MD
91.230.168.218   #AS213412  91.230.168.0/24    FR   ONYPHE - ONYPHE SAS, FR
91.231.89.90     #AS213412  91.231.89.0/24     FR   ONYPHE - ONYPHE SAS, FR
100.28.153.226   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.29.192.9     #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.29.192.111   #AS14618   100.24.0.0/13      US   AMAZON-AES - Amazon.com, Inc., US
100.49.117.77    #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
100.50.17.159    #AS14618   100.48.0.0/12      US   AMAZON-AES - Amazon.com, Inc., US
101.132.145.132  #AS37963   101.132.0.0/16     CN   ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
106.75.129.142   #AS58466   106.75.128.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
106.75.167.104   #AS58466   106.75.160.0/20    CN   CT-Guangzhou-IDC - CHINANET Guangdong province network, CN
106.107.165.244  #AS18049   106.107.160.0/21   TW   TINP-TW - Taiwan Infrastructure Network Technologie, TW
107.150.117.121  #AS135377  107.150.117.0/24   US   UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
110.35.212.106   #AS10175   110.35.212.0/22    KR   HCNKUMHO-AS-KR-KR - Kumho Cable, KR
110.72.11.132    #AS4837    110.72.0.0/15      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
111.38.51.38     #AS9808    111.38.32.0/19     CN   CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
111.43.34.90     #AS132525  111.43.32.0/22     CN   CMNET-HEILONGJIANG-CN - HeiLongJiang Mobile Communication Company Limited, CN
111.43.152.18    #AS132525  111.43.152.0/24    CN   CMNET-HEILONGJIANG-CN - HeiLongJiang Mobile Communication Company Limited, CN
111.91.164.144   #AS38673   111.91.160.0/21    KR   KCTVNET-AS-KR-KR - Korea Cable TV Kwangju Broadcasting, KR
111.91.167.243   #AS38673   111.91.160.0/21    KR   KCTVNET-AS-KR-KR - Korea Cable TV Kwangju Broadcasting, KR
111.196.240.228  #AS4808    111.196.192.0/18   CN   CHINA169-BJ - China Unicom Beijing Province Network, CN
111.240.27.215   #AS3462    111.240.0.0/16     TW   HINET - Data Communication Business Group, TW
111.240.78.74    #AS3462    111.240.0.0/16     TW   HINET - Data Communication Business Group, TW
111.240.91.241   #AS3462    111.240.0.0/16     TW   HINET - Data Communication Business Group, TW
111.240.121.240  #AS3462    111.240.0.0/16     TW   HINET - Data Communication Business Group, TW
111.240.156.69   #AS3462    111.240.0.0/16     TW   HINET - Data Communication Business Group, TW
111.241.10.100   #AS3462    111.241.0.0/16     TW   HINET - Data Communication Business Group, TW
111.241.59.21    #AS3462    111.241.0.0/16     TW   HINET - Data Communication Business Group, TW
111.241.136.17   #AS3462    111.241.0.0/16     TW   HINET - Data Communication Business Group, TW
111.241.254.160  #AS3462    111.241.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.13.236   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.19.112   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.43.145   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.54.88    #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.59.130   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.65.217   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.66.103   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.88.196   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.101.15   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.102.93   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.105.37   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.106.23   #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.123.106  #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.164.235  #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.242.225.165  #AS3462    111.242.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.74.131   #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.146.159  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.178.170  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.183.198  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.201.12   #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.202.36   #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.206.145  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.207.120  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.243.224.199  #AS3462    111.243.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.2.84     #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.14.172   #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.40.29    #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.45.72    #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.52.64    #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.146.89   #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.155.57   #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.174.198  #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.246.198.73   #AS3462    111.246.0.0/16     TW   HINET - Data Communication Business Group, TW
111.248.87.28    #AS3462    111.248.0.0/16     TW   HINET - Data Communication Business Group, TW
111.248.202.213  #AS3462    111.248.0.0/16     TW   HINET - Data Communication Business Group, TW
111.249.15.117   #AS3462    111.249.0.0/16     TW   HINET - Data Communication Business Group, TW
111.249.21.78    #AS3462    111.249.0.0/16     TW   HINET - Data Communication Business Group, TW
111.249.191.174  #AS3462    111.249.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.69.147   #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.109.42   #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.148.93   #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.192.139  #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.201.133  #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.250.229.72   #AS3462    111.250.0.0/16     TW   HINET - Data Communication Business Group, TW
111.251.135.218  #AS3462    111.251.0.0/16     TW   HINET - Data Communication Business Group, TW
111.251.144.174  #AS3462    111.251.0.0/16     TW   HINET - Data Communication Business Group, TW
111.251.195.196  #AS3462    111.251.0.0/16     TW   HINET - Data Communication Business Group, TW
111.251.199.66   #AS3462    111.251.0.0/16     TW   HINET - Data Communication Business Group, TW
111.251.213.5    #AS3462    111.251.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.22.224   #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.26.92    #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.106.160  #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.122.218  #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.129.156  #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.252.151.4    #AS3462    111.252.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.45.189   #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.51.220   #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.61.74    #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.77.136   #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.134.29   #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.253.135.16   #AS3462    111.253.0.0/16     TW   HINET - Data Communication Business Group, TW
111.254.48.126   #AS3462    111.254.0.0/16     TW   HINET - Data Communication Business Group, TW
111.254.135.152  #AS3462    111.254.0.0/16     TW   HINET - Data Communication Business Group, TW
111.254.144.187  #AS3462    111.254.0.0/16     TW   HINET - Data Communication Business Group, TW
111.254.199.38   #AS3462    111.254.0.0/16     TW   HINET - Data Communication Business Group, TW
111.254.249.102  #AS3462    111.254.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.16.209   #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.102.46   #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.107.187  #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.112.75   #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.117.1    #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.200.101  #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
111.255.214.167  #AS3462    111.255.0.0/16     TW   HINET - Data Communication Business Group, TW
112.14.28.32     #AS56041   112.14.0.0/19      CN   CMNET-Zhejiang-AP - China Mobile communications corporation, CN
112.94.189.68    #AS17622   112.94.128.0/18    CN   CNCGROUP-GZ - China Unicom Guangzhou network, CN
112.104.173.173  #AS4780    112.104.160.0/19   TW   SEEDNET - Digital United Inc., TW
112.105.5.202    #AS18049   112.105.4.0/22     TW   TINP-TW - Taiwan Infrastructure Network Technologie, TW
112.105.30.202   #AS18049   112.105.16.0/20    TW   TINP-TW - Taiwan Infrastructure Network Technologie, TW
112.105.133.139  #AS4780    112.105.128.0/19   TW   SEEDNET - Digital United Inc., TW
112.163.49.63    #AS4766    112.160.0.0/13     KR   KIXS-AS-KR-KR - Korea Telecom, KR
112.185.134.131  #AS4766    112.176.0.0/12     KR   KIXS-AS-KR-KR - Korea Telecom, KR
112.186.43.167   #AS4766    112.176.0.0/12     KR   KIXS-AS-KR-KR - Korea Telecom, KR
112.225.216.173  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.228.11.119   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.228.206.27   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.229.249.59   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.231.130.37   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.233.48.200   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.233.99.62    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.233.135.131  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.233.135.210  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.233.161.195  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.234.86.224   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.234.190.169  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.235.4.226    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.235.30.42    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.235.205.241  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.236.131.239  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.236.165.132  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.236.210.6    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.236.242.241  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.237.36.219   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.237.214.37   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.241.240.17   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.241.245.209  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.244.87.83    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.244.152.243  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.246.164.99   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.247.7.74     #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.248.84.66    #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.248.200.120  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.249.30.178   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.249.237.132  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.251.112.55   #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
112.255.195.239  #AS4837    112.224.0.0/11     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
113.61.164.121   #AS17809   113.61.160.0/21    TW   VEETIME-TW-AP - VEE TIME CORP., TW
113.78.240.64    #AS4134    113.64.0.0/11      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.85.62.58     #AS140311  113.85.0.0/17      CN   CHINATELECOM-GUANGDONG-JIANGMEN-5G-NETWORK - CHINATELECOM Guangdong province Jiangmen 5G network, CN
113.93.32.241    #AS136199  113.93.0.0/16      CN   ChinaNet-Guangdong-Yuedong-MAN - CHINANET Guangdong province Yuedong MAN network, CN
113.93.62.185    #AS136199  113.93.0.0/16      CN   ChinaNet-Guangdong-Yuedong-MAN - CHINANET Guangdong province Yuedong MAN network, CN
113.109.250.115  #AS4134    113.96.0.0/12      CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.120.137.218  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.121.65.39    #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.121.67.43    #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.121.89.108   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.121.107.253  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.122.165.109  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.122.176.92   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.122.190.142  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.196.212  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.196.251  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.240.197  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.243.166  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.244.111  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.123.247.69   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.64.27    #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.72.217   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.77.188   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.85.31    #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.100.106  #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.124.155.75   #AS4134    113.120.0.0/13     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
113.237.31.237   #AS4837    113.224.0.0/12     CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
114.24.91.187    #AS3462    114.24.0.0/16      TW   HINET - Data Communication Business Group, TW
114.25.67.19     #AS3462    114.25.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.74.122    #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.82.57     #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.104.242   #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.146.46    #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.156.142   #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.26.194.13    #AS3462    114.26.0.0/16      TW   HINET - Data Communication Business Group, TW
114.27.157.102   #AS3462    114.27.0.0/16      TW   HINET - Data Communication Business Group, TW
114.27.190.3     #AS3462    114.27.0.0/16      TW   HINET - Data Communication Business Group, TW
114.30.129.198   #AS38121   114.30.128.0/21    KR   UPASSTV-AS-KR-KR - LG HelloVision Corp., KR
114.32.239.77    #AS3462    114.32.0.0/16      TW   HINET - Data Communication Business Group, TW
114.36.95.233    #AS3462    114.36.0.0/16      TW   HINET - Data Communication Business Group, TW
114.36.143.122   #AS3462    114.36.0.0/16      TW   HINET - Data Communication Business Group, TW
114.38.8.45      #AS3462    114.38.0.0/16      TW   HINET - Data Communication Business Group, TW
114.38.17.228    #AS3462    114.38.0.0/16      TW   HINET - Data Communication Business Group, TW
114.38.23.216    #AS3462    114.38.0.0/16      TW   HINET - Data Communication Business Group, TW
114.38.151.64    #AS3462    114.38.0.0/16      TW   HINET - Data Communication Business Group, TW
114.38.195.169   #AS3462    114.38.0.0/16      TW   HINET - Data Communication Business Group, TW
114.39.106.197   #AS3462    114.39.0.0/16      TW   HINET - Data Communication Business Group, TW
114.39.134.192   #AS3462    114.39.0.0/16      TW   HINET - Data Communication Business Group, TW
114.39.198.53    #AS3462    114.39.0.0/16      TW   HINET - Data Communication Business Group, TW
114.40.15.32     #AS3462    114.40.0.0/16      TW   HINET - Data Communication Business Group, TW
114.41.82.26     #AS3462    114.41.0.0/16      TW   HINET - Data Communication Business Group, TW
114.41.85.131    #AS3462    114.41.0.0/16      TW   HINET - Data Communication Business Group, TW
114.42.34.37     #AS3462    114.42.0.0/16      TW   HINET - Data Communication Business Group, TW
114.42.48.183    #AS3462    114.42.0.0/16      TW   HINET - Data Communication Business Group, TW
114.42.150.21    #AS3462    114.42.0.0/16      TW   HINET - Data Communication Business Group, TW
114.42.196.171   #AS3462    114.42.0.0/16      TW   HINET - Data Communication Business Group, TW
114.42.198.15    #AS3462    114.42.0.0/16      TW   HINET - Data Communication Business Group, TW
114.43.8.20      #AS3462    114.43.0.0/16      TW   HINET - Data Communication Business Group, TW
114.43.16.179    #AS3462    114.43.0.0/16      TW   HINET - Data Communication Business Group, TW
114.43.35.191    #AS3462    114.43.0.0/16      TW   HINET - Data Communication Business Group, TW
114.43.227.227   #AS3462    114.43.0.0/16      TW   HINET - Data Communication Business Group, TW
114.43.244.171   #AS3462    114.43.0.0/16      TW   HINET - Data Communication Business Group, TW
114.45.53.54     #AS3462    114.45.0.0/16      TW   HINET - Data Communication Business Group, TW
114.45.184.250   #AS3462    114.45.0.0/16      TW   HINET - Data Communication Business Group, TW
114.46.149.198   #AS3462    114.46.0.0/16      TW   HINET - Data Communication Business Group, TW
114.47.56.105    #AS3462    114.47.0.0/16      TW   HINET - Data Communication Business Group, TW
114.199.240.65   #AS7623    114.199.240.0/22   KR   HCNGYEONGBUK-AS-KR-KR - Gyeongbuk Cable TV, KR
115.40.209.207   #AS9845    115.40.208.0/22    KR   CJCKN-AS-KR-KR - LG HelloVision Corp., KR
115.40.225.53    #AS9845    115.40.224.0/22    KR   CJCKN-AS-KR-KR - LG HelloVision Corp., KR
115.40.231.241   #AS9845    115.40.228.0/22    KR   CJCKN-AS-KR-KR - LG HelloVision Corp., KR
115.58.84.129    #AS4837    115.48.0.0/12      CN   CHINA169-Backbone - CHINA UNICOM China169 Backbone, CN
115.126.249.136  #AS9976    115.126.192.0/18   KR   ICNDP-AS-KR-KR - Namincheon Brodcasting Co., Ltd., KR
115.192.3.62     #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.16.173   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.40.133   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.43.54    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.45.52    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.51.18    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.52.9     #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.52.155   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.52.196   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.75.68    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.82.85    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.90.118   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.91.148   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.100.176  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.108.102  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.108.159  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.112.240  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.124.251  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.126.111  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.146.23   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.155.149  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.166.107  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.168.33   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.168.45   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.186.240  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.187.141  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.191.16   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.191.170  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.216.251  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.221.255  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.232.208  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.192.242.85   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.11.56    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.18.87    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.27.28    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.36.30    #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.77.252   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.96.173   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.107.255  #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.113.49   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.122.86   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
115.193.134.17   #AS4134    115.192.0.0/11     CN   CHINANET-BACKBONE - No.31,Jin-rong Street, CN
