185.62.230.0/24 #AS215713 UEC-AUK United Education Company CJSC, KW
138.74.0.0/17 #AS2041 STNORBERTCOLLEGE St. Norbert College, US
132.175.0.0/16 #AS377 SNLA-NET-AS Sandia National Laboratories, US
134.253.0.0/16 #AS377 SNLA-NET-AS Sandia National Laboratories, US
192.160.227.0/24 #AS377 SNLA-NET-AS Sandia National Laboratories, US
198.102.151.0/24 #AS377 SNLA-NET-AS Sandia National Laboratories, US
198.102.152.0/22 #AS377 SNLA-NET-AS Sandia National Laboratories, US
198.206.223.0/24 #AS377 SNLA-NET-AS Sandia National Laboratories, US
205.137.80.0/20 #AS377 SNLA-NET-AS Sandia National Laboratories, US
203.217.142.0/24 #AS131187 ECSN-AS-AP Teritary Education Commission, NZ
103.227.0.0/24 #AS151594 IDNIC-POLTEKBANGSBY-AS-ID Politeknik Penerbangan Surabaya, ID
35.0.0.0/14 #AS36375 UMICH-AS-5 University of Michigan, US
35.4.0.0/15 #AS36375 UMICH-AS-5 University of Michigan, US
35.6.0.0/16 #AS36375 UMICH-AS-5 University of Michigan, US
35.7.0.0/18 #AS36375 UMICH-AS-5 University of Michigan, US
35.7.128.0/18 #AS36375 UMICH-AS-5 University of Michigan, US
67.194.0.0/16 #AS36375 UMICH-AS-5 University of Michigan, US
141.211.0.0/16 #AS36375 UMICH-AS-5 University of Michigan, US
141.212.0.0/15 #AS36375 UMICH-AS-5 University of Michigan, US
141.214.0.0/16 #AS36375 UMICH-AS-5 University of Michigan, US
192.12.80.0/24 #AS36375 UMICH-AS-5 University of Michigan, US
192.41.232.0/23 #AS36375 UMICH-AS-5 University of Michigan, US
192.231.253.0/24 #AS36375 UMICH-AS-5 University of Michigan, US
198.108.8.0/21 #AS36375 UMICH-AS-5 University of Michigan, US
207.75.144.0/20 #AS36375 UMICH-AS-5 University of Michigan, US
157.15.6.0/23 #AS152337 NUM-AS-AP National University of Mongolia, MN
150.237.0.0/20 #AS202575 UNI-HULL University of Hull, GB
203.232.140.0/22 #AS9859 CCCC-AS ChungCheong University, KR
203.234.84.0/22 #AS9859 CCCC-AS ChungCheong University, KR
210.102.128.0/22 #AS9859 CCCC-AS ChungCheong University, KR
210.102.132.0/23 #AS9859 CCCC-AS ChungCheong University, KR
210.181.172.0/22 #AS9859 CCCC-AS ChungCheong University, KR
