# Last 14 days where more than 2 ports overlap per host
# Common ports included in list if not already part of top50 ports found:
# 21,22,23,53,80,123,139,161,162,389,443,445,500,1001,3306,3389,4500,5000,5001,5900,8000,8001,8080,8443,10000
#
# PORTS REPORTED ON INCL TOP50 FOUND
# 0,21,22,23,53,68,80,81,82,83,88,123,137,139,161,162,389,443,445,500,1001,1433,1900,2222,2375,3000,3306,3389,4500,5000,5001,5021,5060,5122,5432,5555,5900,6021,6080,6379,7777,8000,8001,8080,8081,8082,8088,8443,8728,8888,9000,9200,9443,10000,17000,27015,27017
#
#
195.184.76.124   #AS213412    4 ports   143,22,5432,7777          ONYPHE - ONYPHE SAS, FR
195.184.76.228   #AS213412    4 ports   2222,8008,8080,8888       ONYPHE - ONYPHE SAS, FR
195.230.103.249  #AS211607    4 ports   23,500,5000,8181          RECORDEDFUTURE - Securitytrails, LLC, US
198.235.24.100   #AS396982    4 ports   111,22,500,8081           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.106   #AS396982    4 ports   22,4500,83,9200           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.107   #AS396982    4 ports   1900,2087,82,8443         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.110   #AS396982    4 ports   143,3306,3389,7777        GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.112   #AS396982    4 ports   10000,7001,8081,8083      GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.115   #AS396982    4 ports   161,3000,80,9000          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.123   #AS396982    4 ports   110,23,389,8081           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.170   #AS396982    4 ports   27017,443,5432,8888       GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.172   #AS396982    4 ports   161,2087,88,8888          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.174   #AS396982    4 ports   22,3000,3389,8083         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.182   #AS396982    4 ports   1080,137,5001,8081        GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.186   #AS396982    4 ports   110,2087,3306,3389        GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.197   #AS396982    4 ports   10001,143,22,7001         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.200   #AS396982    4 ports   10001,3000,443,82         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.213   #AS396982    4 ports   10001,161,3389,5060       GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.216   #AS396982    4 ports   22,2222,8082,8090         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.223   #AS396982    4 ports   22,5432,80,8443           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.225   #AS396982    4 ports   389,6443,8081,8443        GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.232   #AS396982    4 ports   10001,8081,82,9200        GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.252   #AS396982    4 ports   161,7777,8083,83          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.49    #AS396982    4 ports   161,3389,5060,80          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.57    #AS396982    4 ports   443,5001,88,9443          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.66    #AS396982    4 ports   110,161,3389,9443         GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.68    #AS396982    4 ports   137,161,1723,21           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.88    #AS396982    4 ports   161,1900,2087,22          GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.235.24.95    #AS396982    4 ports   23,5060,6443,80           GOOGLE-CLOUD-PLATFORM - Google LLC, US
198.57.231.85    #AS46606     4 ports   443,80,8080,8443          UNIFIEDLAYER-AS-1 - Unified Layer, US
199.45.154.113   #AS398722    4 ports   54322,54443,554,80        CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.129   #AS398722    4 ports   22,23,554,80              CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.130   #AS398722    4 ports   23,54322,54443,9443       CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.143   #AS398722    4 ports   54322,54443,554,8080      CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.151   #AS398722    4 ports   123,5021,6021,6080        CENSYS-ARIN-03 - Censys, Inc., US
199.45.154.184   #AS398722    4 ports   1900,2087,25565,554       CENSYS-ARIN-03 - Censys, Inc., US
199.45.155.82    #AS398722    4 ports   5021,54322,6021,80        CENSYS-ARIN-03 - Censys, Inc., US
199.45.155.86    #AS398722    4 ports   54322,54443,5900,8080     CENSYS-ARIN-03 - Censys, Inc., US
199.45.155.88    #AS398722    4 ports   54322,54443,6080,9443     CENSYS-ARIN-03 - Censys, Inc., US
199.45.155.96    #AS398722    4 ports   5021,53,54322,6080        CENSYS-ARIN-03 - Censys, Inc., US
20.118.248.174   #AS8075      4 ports   443,445,5060,6379         MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.119.86.53     #AS8075      4 ports   1433,6379,8080,88         MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.163.15.206    #AS8075      4 ports   139,3000,81,9200          MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.168.122.61    #AS8075      4 ports   123,161,5060,53           MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.169.107.214   #AS8075      4 ports   27017,8080,8081,8088      MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
202.85.76.92     #AS137897    4 ports   5060,8080,8081,8082       PANLIANTECHNOLOGYCOLIMITED-AS-HK - PAN-LIAN TECHNOLOGY CO., LIMITED, HK
20.29.19.243     #AS8075      4 ports   137,8080,9200,9443        MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
204.48.28.23     #AS14061     4 ports   1900,8000,8081,8083       DIGITALOCEAN-ASN - DigitalOcean, LLC, US
205.210.31.109   #AS396982    4 ports   10000,21,5555,80          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.110   #AS396982    4 ports   8000,8081,81,9200         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.166   #AS396982    4 ports   139,3389,389,5000         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.171   #AS396982    4 ports   3389,443,82,9443          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.176   #AS396982    4 ports   23,8080,81,9200           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.180   #AS396982    4 ports   143,3389,82,9200          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.200   #AS396982    4 ports   5000,5001,554,80          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.202   #AS396982    4 ports   10000,21,3389,88          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.208   #AS396982    4 ports   3389,8088,8090,8888       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.212   #AS396982    4 ports   143,5060,5432,88          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.213   #AS396982    4 ports   1080,143,4500,9443        GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.216   #AS396982    4 ports   8080,8081,8088,8090       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.219   #AS396982    4 ports   139,161,7777,8090         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.221   #AS396982    4 ports   2087,23,5001,7547         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.225   #AS396982    4 ports   137,143,80,9443           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.231   #AS396982    4 ports   139,23,4500,8080          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.233   #AS396982    4 ports   2087,22,500,7001          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.235   #AS396982    4 ports   10001,143,53,8080         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.245   #AS396982    4 ports   22,554,7001,7547          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.249   #AS396982    4 ports   23,3000,7547,8081         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.255   #AS396982    4 ports   143,2087,443,68           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.38    #AS396982    4 ports   111,5001,554,8090         GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.40    #AS396982    4 ports   443,500,5000,53           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.43    #AS396982    4 ports   139,161,22,8088           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.48    #AS396982    4 ports   1900,5900,7001,8082       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.50    #AS396982    4 ports   10001,3306,389,9000       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.56    #AS396982    4 ports   3306,8088,8090,9443       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.68    #AS396982    4 ports   139,53,8081,81            GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.70    #AS396982    4 ports   2087,21,389,8081          GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.76    #AS396982    4 ports   3389,500,7001,9443        GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.77    #AS396982    4 ports   1433,5060,5900,9443       GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.93    #AS396982    4 ports   143,389,80,8081           GOOGLE-CLOUD-PLATFORM - Google LLC, US
205.210.31.95    #AS396982    4 ports   10000,1080,4500,6379      GOOGLE-CLOUD-PLATFORM - Google LLC, US
206.223.236.123  #AS262287    4 ports   3000,443,80,81            AS262287 - Latitude.sh LTDA, BR
20.64.104.82     #AS8075      4 ports   111,8008,8443,9090        MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
20.65.194.48     #AS8075      4 ports   111,23,3000,3389          MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
210.211.122.97   #AS38731     4 ports   22,2222,443,80            VTDC-AS-VN - Vietel - CHT Compamy Ltd, VN
213.209.159.26   #AS208137    4 ports   143,22,2222,9000          FPS12 - Feo Prest SRL, RO
216.180.246.126  #AS396982    4 ports   7547,7777,8000,8001       GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.218.206.100  #AS6939      4 ports   10001,23,6443,8080        HURRICANE - Hurricane Electric LLC, US
216.25.89.116    #AS396982    4 ports   10000,143,3306,3389       GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.25.89.125    #AS396982    4 ports   123,3306,443,8080         GOOGLE-CLOUD-PLATFORM - Google LLC, US
216.25.89.80     #AS396982    4 ports   143,1433,443,8888         GOOGLE-CLOUD-PLATFORM - Google LLC, US
223.85.102.135   #AS9808      4 ports   22,23,2375,80             CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
223.85.102.138   #AS9808      4 ports   22,23,2375,443            CHINAMOBILE-CN - China Mobile Communications Group Co., Ltd., CN
23.94.184.100    #AS36352     4 ports   22,2222,23,2375           AS-COLOCROSSING - HostPapa, US
31.59.160.12     #AS203861    4 ports   3000,5000,80,8080         MITEFLUX-AS - Miteflux Technologies Ltd, GB
3.24.191.170     #AS16509     4 ports   6443,7001,8008,9090       AMAZON-02 - Amazon.com, Inc., US
34.34.103.195    #AS396982    4 ports   443,80,8080,8443          GOOGLE-CLOUD-PLATFORM - Google LLC, US
34.63.144.162    #AS396982    4 ports   110,1723,25,8090          GOOGLE-CLOUD-PLATFORM - Google LLC, US
37.148.133.12    #AS210356    4 ports   8000,8080,8081,8888       BattleHost - KAUA REIS DA SILVA trading as BattleHost, BR
37.49.225.44     #AS61254     4 ports   80,81,82,83               ESTOXY-OU - ESTOXY OU, EE
40.124.175.76    #AS8075      4 ports   500,53,6443,8080          MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
45.133.173.206   #AS25369     4 ports   25,6021,7547,81           BANDWIDTH-AS - Hydra Communications Ltd, GB
45.135.193.191   #AS51396     4 ports   123,1900,389,53           PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE
45.156.129.193   #AS211680    4 ports   8080,8081,8090,8888       AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.129.48    #AS211680    4 ports   161,443,8090,8888         #AS-BITSIGHT - NSEC - Sistemas Informaticos, S.A., PT
45.156.87.165    #AS197170    4 ports   22,5122,5555,8888         TECHTIES-AS - TechTies Inc., SC
45.156.87.178    #AS197170    4 ports   22,5122,8082,8888         TECHTIES-AS - TechTies Inc., SC
45.156.87.192    #AS197170    4 ports   22,3000,5001,5122         TECHTIES-AS - TechTies Inc., SC
45.160.231.44    #AS270724    4 ports   1900,8000,8081,8083       AS270724 - CLIENT.CO SERVICOS E TELECOMUNICACOES LTDA, BR
45.163.147.208   #AS268568    4 ports   443,80,8080,8443          AS268568 - IMPLANTAR TELECOM SOCIEDADE LIMITADA, BR
45.194.92.14     #AS215925    4 ports   443,80,8000,8080          VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.198.224.236   #AS215925    4 ports   110,111,1723,25           VPSVAULTHOST - VPSVAULT.HOST LTD, GB
45.33.46.249     #AS63949     4 ports   23,25,500,80              AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
45.74.3.137      #AS211860    4 ports   22,8080,8081,8443         VPSDEDIC-AS - Nerushenko Vyacheslav Nikolaevich, RU
45.79.67.140     #AS63949     4 ports   21,22,443,8080            AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
46.101.232.106   #AS14061     4 ports   21,5060,53,8080           DIGITALOCEAN-ASN - DigitalOcean, LLC, US
46.8.96.254      #AS204339    4 ports   2222,2375,443,80          FIRSTSERVER-FL-AS - FIRST SERVER LIMITED, GB
47.253.5.130     #AS45102     4 ports   2222,23,2375,443          ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
48.216.242.171   #AS8075      4 ports   161,25,5060,8081          MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US
50.116.72.42     #AS19871     4 ports   2087,5000,8000,8443       NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US
51.159.111.44    #AS12876     4 ports   1080,8080,8081,8888       #AS12876 - Scaleway SAS, FR
51.159.125.200   #AS12876     4 ports   80,8082,8088,8090         AS12876 - Scaleway SAS, FR
5.252.83.133     #AS25369     4 ports   2222,443,6021,8082        BANDWIDTH-AS - Hydra Communications Ltd, GB
52.73.169.169    #AS14618     4 ports   123,161,1900,53           AMAZON-AES - Amazon.com, Inc., US
54.66.150.182    #AS16509     4 ports   6443,7001,8008,9090       AMAZON-02 - Amazon.com, Inc., US
64.226.98.239    #AS14061     4 ports   1900,5060,8000,8081       DIGITALOCEAN-ASN - DigitalOcean, LLC, US
64.34.87.179     #AS262287    4 ports   17000,23,3000,5000        AS262287 - Latitude.sh LTDA, BR
64.62.156.119    #AS6939      4 ports   10001,5001,8001,88        HURRICANE - Hurricane Electric LLC, US
64.62.156.11     #AS6939      4 ports   161,21,23,2375            HURRICANE - Hurricane Electric LLC, US
64.62.156.163    #AS6939      4 ports   25,5432,8001,81           HURRICANE - Hurricane Electric LLC, US
64.62.156.172    #AS6939      4 ports   21,500,8001,8080          HURRICANE - Hurricane Electric LLC, US
64.62.156.187    #AS6939      4 ports   1080,123,6443,8000        HURRICANE - Hurricane Electric LLC, US
64.62.156.189    #AS6939      4 ports   27017,8088,8888,9200      HURRICANE - Hurricane Electric LLC, US
64.62.156.51     #AS6939      4 ports   5000,7001,8001,8088       HURRICANE - Hurricane Electric LLC, US
64.62.197.139    #AS6939      4 ports   0,17000,5060,9090         HURRICANE - Hurricane Electric LLC, US
64.62.197.144    #AS6939      4 ports   1080,389,500,80           HURRICANE - Hurricane Electric LLC, US
64.62.197.148    #AS6939      4 ports   10001,110,3389,7777       HURRICANE - Hurricane Electric LLC, US
64.62.197.219    #AS6939      4 ports   110,3389,500,80           HURRICANE - Hurricane Electric LLC, US
64.62.197.224    #AS6939      4 ports   3389,500,5060,8001        HURRICANE - Hurricane Electric LLC, US
64.62.197.230    #AS6939      4 ports   17000,3389,5060,80        HURRICANE - Hurricane Electric LLC, US
64.62.197.39     #AS6939      4 ports   143,23,3389,8080          HURRICANE - Hurricane Electric LLC, US
64.62.197.40     #AS6939      4 ports   111,3389,5001,53          HURRICANE - Hurricane Electric LLC, US
64.62.197.73     #AS6939      4 ports   22,23,5001,7777           HURRICANE - Hurricane Electric LLC, US
64.62.197.74     #AS6939      4 ports   17000,1900,2087,8080      HURRICANE - Hurricane Electric LLC, US
64.62.197.99     #AS6939      4 ports   0,143,23,500              HURRICANE - Hurricane Electric LLC, US
65.49.1.130      #AS6939      4 ports   2087,21,5900,9090         HURRICANE - Hurricane Electric LLC, US
65.49.1.136      #AS6939      4 ports   445,8001,82,9090          HURRICANE - Hurricane Electric LLC, US
65.49.1.146      #AS6939      4 ports   1900,27017,7777,82        HURRICANE - Hurricane Electric LLC, US
65.49.1.154      #AS6939      4 ports   83,8443,8888,9200         HURRICANE - Hurricane Electric LLC, US
65.49.1.164      #AS6939      4 ports   5432,6080,80,8006         HURRICANE - Hurricane Electric LLC, US
65.49.1.168      #AS6939      4 ports   500,5555,6080,8006        HURRICANE - Hurricane Electric LLC, US
65.49.1.179      #AS6939      4 ports   27017,8000,81,82          HURRICANE - Hurricane Electric LLC, US
65.49.1.17       #AS6939      4 ports   23,3389,6080,8081         HURRICANE - Hurricane Electric LLC, US
65.49.1.183      #AS6939      4 ports   21,5555,82,8888           HURRICANE - Hurricane Electric LLC, US
65.49.1.194      #AS6939      4 ports   5001,5432,5555,8081       HURRICANE - Hurricane Electric LLC, US
65.49.1.207      #AS6939      4 ports   443,500,6443,81           HURRICANE - Hurricane Electric LLC, US
65.49.1.213      #AS6939      4 ports   3306,389,5900,8888        HURRICANE - Hurricane Electric LLC, US
65.49.1.241      #AS6939      4 ports   6080,8000,81,9200         HURRICANE - Hurricane Electric LLC, US
65.49.1.73       #AS6939      4 ports   25,389,7547,8090          HURRICANE - Hurricane Electric LLC, US
65.49.1.86       #AS6939      4 ports   10001,5555,6080,83        HURRICANE - Hurricane Electric LLC, US
65.49.20.100     #AS6939      4 ports   22,5555,6080,9090         HURRICANE - Hurricane Electric LLC, US
65.49.20.80      #AS6939      4 ports   5001,5432,7001,8443       HURRICANE - Hurricane Electric LLC, US
66.132.172.100   #AS398324    4 ports   123,6021,6080,80          CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.199   #AS398324    4 ports   443,6021,6080,80          CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.234   #AS398324    4 ports   111,1433,53,7001          CENSYS-ARIN-01 - Censys, Inc., US
66.132.172.98    #AS398324    4 ports   5021,6021,8080,9443       CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.177   #AS398324    4 ports   5021,6021,6080,9443       CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.186   #AS398324    4 ports   111,123,554,6021          CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.187   #AS398324    4 ports   5021,6021,6080,9443       CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.193   #AS398324    4 ports   53,54443,6080,80          CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.202   #AS398324    4 ports   5021,554,8082,9443        CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.208   #AS398324    4 ports   3389,5000,5060,554        CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.211   #AS398324    4 ports   111,3000,5060,8082        CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.214   #AS398324    4 ports   500,8001,8080,83          CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.219   #AS398324    4 ports   3389,443,5000,9200        CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.222   #AS398324    4 ports   5000,5900,7547,81         CENSYS-ARIN-01 - Censys, Inc., US
66.132.186.245   #AS398324    4 ports   1433,25,445,8000          CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.116   #AS398324    4 ports   443,6021,6080,8000        CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.117   #AS398324    4 ports   5021,6021,6080,9443       CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.58    #AS398324    4 ports   554,5900,8080,9443        CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.59    #AS398324    4 ports   5021,6080,8080,9443       CENSYS-ARIN-01 - Censys, Inc., US
66.132.195.92    #AS398324    4 ports   123,53,54322,54443        CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.19    #AS398324    4 ports   1433,25,27015,82          CENSYS-ARIN-01 - Censys, Inc., US
66.132.224.26    #AS398324    4 ports   161,2087,23,3000          CENSYS-ARIN-01 - Censys, Inc., US
66.175.212.77    #AS63949     4 ports   10001,110,143,443         AKAMAI-LINODE-AP - Akamai Connected Cloud, SG
66.240.192.138   #AS10439     4 ports   137,5001,53,7547          CARINET - CariNet, Inc., US
66.240.205.34    #AS10439     4 ports   443,80,81,82              CARINET - CariNet, Inc., US
67.207.95.230    #AS14061     4 ports   443,5555,8080,8443        DIGITALOCEAN-ASN - DigitalOcean, LLC, US
68.178.167.214   #AS26496     4 ports   2087,443,80,8080          AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
69.5.169.116     #AS25369     4 ports   445,4500,5060,6021        BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.149     #AS25369     4 ports   123,3000,389,6021         BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.170     #AS25369     4 ports   139,1900,445,6379         BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.173     #AS25369     4 ports   3389,389,5001,80          BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.176     #AS25369     4 ports   23,8001,8080,9000         BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.197     #AS25369     4 ports   2087,8001,8081,83         BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.8       #AS25369     4 ports   111,23,3306,80            BANDWIDTH-AS - Hydra Communications Ltd, GB
69.5.169.90      #AS25369     4 ports   10001,21,4500,5000        BANDWIDTH-AS - Hydra Communications Ltd, GB
71.6.199.23      #AS10439     4 ports   22,4500,6379,8728         CARINET - CariNet, Inc., US
71.6.199.87      #AS10439     4 ports   23,3389,445,6379          CARINET - CariNet, Inc., US
71.6.232.23      #AS10439     4 ports   161,389,53,6379           CARINET - CariNet, Inc., US
71.6.232.24      #AS10439     4 ports   123,137,445,8080          CARINET - CariNet, Inc., US
71.6.232.30      #AS10439     4 ports   123,137,25,53             CARINET - CariNet, Inc., US
77.90.185.16     #AS213790    4 ports   10001,1080,22,2222        LimitedNetwork-AS - Limited Network LTD, GB
78.128.114.102   #AS50360     4 ports   1080,5000,7001,8090       TAMATIYA-AS - Tamatiya EOOD, BG
78.128.114.58    #AS50360     4 ports   110,5000,8083,8090        TAMATIYA-AS - Tamatiya EOOD, BG
79.124.58.142    #AS50360     4 ports   1433,162,8008,81          TAMATIYA-AS - Tamatiya EOOD, BG
79.124.62.178    #AS207812    4 ports   3000,3389,8000,9000       DM_AUTO - DM AUTO EOOD, BG
80.82.77.48      #AS202425    4 ports   500,5900,83,8888          INT-NETWORK - IP Volume inc, SC
80.94.92.13      #AS47890     4 ports   111,1723,2087,8083        UNMANAGED-DEDICATED-SERVERS - UNMANAGED LTD, GB
8.211.162.45     #AS45102     4 ports   143,445,53,80             ALIBABA-CN-NET - Alibaba (US) Technology Co., Ltd., CN
85.11.167.7      #AS209630    4 ports   3306,5432,54322,8006      KREDIT-AS - LLC VASH KREDIT BANK, UA
85.217.140.39    #AS209334    4 ports   10000,110,6379,7547       MODAT-01 - Modat B.V., NL
85.217.140.46    #AS209334    4 ports   17000,445,8000,88         MODAT-01 - Modat B.V., NL
85.217.140.9     #AS209334    4 ports   111,22,6021,8081          MODAT-01 - Modat B.V., NL
85.217.149.25    #AS209334    4 ports   4790,54443,5555,8008      MODAT-01 - Modat B.V., NL
85.217.149.39    #AS209334    4 ports   2087,443,8081,8082        MODAT-01 - Modat B.V., NL
85.217.149.61    #AS209334    4 ports   2087,500,5021,81          MODAT-01 - Modat B.V., NL
85.217.149.63    #AS209334    4 ports   1723,25565,54322,80       MODAT-01 - Modat B.V., NL
85.217.149.65    #AS209334    4 ports   110,5900,6443,7547        MODAT-01 - Modat B.V., NL
85.217.149.74    #AS209334    4 ports   1433,23,25,445            MODAT-01 - Modat B.V., NL
86.54.31.40      #AS12989     4 ports   22,80,8000,8080           BlackHOST - Black HOST Ltd, CA
89.34.230.227    #AS207847    4 ports   5000,5001,5021,5060       CloudBlast - CloudBlast LLC, US
91.196.152.25    #AS213412    4 ports   143,53,5432,8082          ONYPHE - ONYPHE SAS, FR
91.196.152.6     #AS213412    4 ports   3000,3306,3389,443        ONYPHE - ONYPHE SAS, FR
91.196.152.93    #AS213412    4 ports   111,2222,3000,3306        ONYPHE - ONYPHE SAS, FR
91.92.40.12      #AS197170    4 ports   22,23,8081,81             TECHTIES-AS - TechTies Inc., SC
94.154.43.101    #AS219502    4 ports   123,1900,389,53           STORMCLOUD-AS - Storm Industries LLC, US
94.154.43.46     #AS219502    4 ports   22,23,3000,8080           STORMCLOUD-AS - Storm Industries LLC, US
94.154.43.64     #AS219502    4 ports   3000,5555,80,8080         STORMCLOUD-AS - Storm Industries LLC, US
94.231.206.254   #AS213412    4 ports   2222,3306,8082,8088       ONYPHE - ONYPHE SAS, FR
97.74.230.245    #AS398101    4 ports   443,80,8080,8443          GO-DADDY-COM-LLC - GoDaddy.com, LLC, US
100.29.192.111   #AS14618     3 ports   161,8000,8443             AMAZON-AES - Amazon.com, Inc., US
100.29.192.117   #AS14618     3 ports   5900,7777,88              AMAZON-AES - Amazon.com, Inc., US
100.29.192.44    #AS14618     3 ports   1900,21,389               AMAZON-AES - Amazon.com, Inc., US
100.29.192.62    #AS14618     3 ports   5900,83,9200              AMAZON-AES - Amazon.com, Inc., US
100.29.192.78    #AS14618     3 ports   1900,53,9000              AMAZON-AES - Amazon.com, Inc., US
100.59.0.92      #AS14618     3 ports   21,22,8443                AMAZON-AES - Amazon.com, Inc., US
101.200.243.197  #AS37963     3 ports   3306,3389,6379            ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
101.201.38.226   #AS37963     3 ports   3306,3389,6379            ALIBABA-CN-NET - Hangzhou Alibaba Advertising Co.,Ltd., CN
101.36.104.242   #AS135377    3 ports   22,23,2375                UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
101.36.114.252   #AS135377    3 ports   123,139,8080              UCLOUD-HK-AS-AP - UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK
102.220.160.47   #AS197769    3 ports   22,5122,8000              VPSDEDICATED-AS - VPS Dedicated LLC, US
103.123.175.6    #AS150968    3 ports   1900,8081,8082            JARTEL-AS-ID - PT Jaringanku Media Telekomunikasi, ID
103.168.66.135   #AS142430    3 ports   443,80,8000               DIGIVPS-AS-AP - DIGI VPS, IN
104.243.35.104   #AS23470     3 ports   5000,5555,9090            RELIABLESITE - ReliableSite.Net LLC, US
104.248.206.108  #AS14061     3 ports   123,22,8080               DIGITALOCEAN-ASN - DigitalOcean, LLC, US
104.248.217.195  #AS14061     3 ports   443,53,8080               DIGITALOCEAN-ASN - DigitalOcean, LLC, US
