103.129.120.0/22 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
103.166.70.0/23 #AS139263 UDLPF-AS-AP Universite de la Polynesie Francaise, PF
103.166.70.0/23 #AS9471 ONATI-AS-AP ONATI, PF
103.254.224.0/22 #AS9471 ONATI-AS-AP ONATI, PF
103.254.232.0/22 #AS55943 ONATI-AS-AP ONATI, PF
103.46.216.0/22 #AS9471 ONATI-AS-AP ONATI, PF
103.4.72.0/22 #AS56017 VITI-AS-PF VITI, PF
113.197.68.0/22 #AS56017 VITI-AS-PF VITI, PF
114.141.112.0/23 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
123.50.64.0/18 #AS9471 ONATI-AS-AP ONATI, PF
148.66.64.0/18 #AS9471 ONATI-AS-AP ONATI, PF
192.171.104.0/23 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
192.171.107.0/24 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
192.171.108.0/23 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
192.171.110.0/24 #AS138179 PMT-AS-AP PACIFIC MOBILE TELECOM, PF
192.175.48.1/32 #AS133896 TAHITINUITELECOM-AS-AP Tahiti Nui Telecom, PF - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
202.3.224.0/19 #AS9471 ONATI-AS-AP ONATI, PF
202.90.64.0/19 #AS9471 ONATI-AS-AP ONATI, PF
203.185.160.0/20 #AS9471 ONATI-AS-AP ONATI, PF
203.185.176.0/21 #AS9471 ONATI-AS-AP ONATI, PF
218.100.77.0/24 #AS55943 ONATI-AS-AP ONATI, PF
38.51.136.0/22 #AS56017 VITI-AS-PF VITI, PF
43.249.176.0/22 #AS56017 VITI-AS-PF VITI, PF
50.21.80.0/20 #AS9471 ONATI-AS-AP ONATI, PF
64.140.144.0/20 #AS55943 ONATI-AS-AP ONATI, PF
64.140.152.0/22 #AS9471 ONATI-AS-AP ONATI, PF
64.140.156.0/24 #AS9471 ONATI-AS-AP ONATI, PF
