103.146.102.0/24 #AS215823 SPAUGURDATA Spaugur Data, IS
128.140.232.0/21 #AS197973 SKRA-NET, IS
130.208.0.0/16 #AS15474 RHNET SURISRHnet, IS
139.28.147.0/24 #AS56704 FARICE-AS, IS
147.28.16.0/22 #AS205436 ASWINTERMUTE, IS
149.126.80.0/21 #AS44735 SIP-ASN, IS
151.236.24.0/24 #AS50613 THORDC-AS, IS
153.92.128.0/19 #AS44735 SIP-ASN, IS
154.194.43.0/24 #AS51896 HRINGDU-AS, IS
157.157.0.0/16 #AS6677 ICENET-AS1, IS
157.157.184.0/22 #AS51896 HRINGDU-AS, IS
157.97.0.0/19 #AS44735 SIP-ASN, IS
160.202.134.0/24 #AS51019 LJOSNET-VPC Ljosnet, IS
160.20.214.0/23 #AS31236 RVK-AS Reykjavik City Hall, IS
160.210.0.0/16 #AS15474 RHNET SURISRHnet, IS
176.10.32.0/21 #AS48685 OK-AS, IS
176.57.224.0/20 #AS48685 OK-AS, IS
178.19.48.0/20 #AS44735 SIP-ASN, IS
178.248.16.0/21 #AS60690 OPEX-ASN, IS
178.83.99.0/24 #AS200651 FLOKINET, IS
185.100.84.0/22 #AS200651 FLOKINET, IS
185.10.68.0/24 #AS200651 FLOKINET, IS
185.107.60.0/22 #AS200432 BORGUN, IS
185.109.100.0/22 #AS60690 OPEX-ASN, IS
185.111.36.0/22 #AS44735 SIP-ASN, IS
185.112.144.0/22 #AS44925 THE-1984-AS, IS
185.112.204.0/22 #AS59396 TRS, IS
185.118.32.0/22 #AS48685 OK-AS, IS
185.119.124.0/22 #AS48685 OK-AS, IS
185.123.196.0/22 #AS60690 OPEX-ASN, IS
185.126.60.0/22 #AS203715 ISA, IS
185.130.12.0/22 #AS43892 BASIS-AS, IS
185.138.172.0/22 #AS203322 EIMSKIP-AS, IS
185.146.232.0/23 #AS200651 FLOKINET, IS
185.146.234.0/24 #AS200651 FLOKINET, IS
185.147.136.0/22 #AS211734 IS-VEGAGERDIN, IS
185.152.116.0/22 #AS44735 SIP-ASN, IS
