217.28.144.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
217.30.128.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
194.9.223.0/24 #AS12743 PTK-CENTERTEL, PL
193.105.45.0/24 #AS12774 PWN-ASN, PL
195.230.120.0/24 #AS12774 PWN-ASN, PL
46.41.128.0/18 #AS12824 HOMEPL-AS, PL
46.242.128.0/17 #AS12824 HOMEPL-AS, PL
62.129.192.0/18 #AS12824 HOMEPL-AS, PL
79.96.0.0/16 #AS12824 HOMEPL-AS, PL
89.161.128.0/17 #AS12824 HOMEPL-AS, PL
188.128.128.0/17 #AS12824 HOMEPL-AS, PL
212.85.96.0/19 #AS12824 HOMEPL-AS, PL
212.77.96.0/20 #AS12827 WIRTUALNAPOLSKA GDANSK, Poland, PL
212.77.112.0/23 #AS12827 WIRTUALNAPOLSKA GDANSK, Poland, PL
212.77.116.0/23 #AS12827 WIRTUALNAPOLSKA GDANSK, Poland, PL
212.77.120.0/23 #AS12827 WIRTUALNAPOLSKA GDANSK, Poland, PL
89.191.160.0/19 #AS12831 TASK-AS, PL
91.194.106.0/23 #AS12831 TASK-AS, PL
91.209.116.0/24 #AS12831 TASK-AS, PL
91.221.26.0/23 #AS12831 TASK-AS, PL
91.244.248.0/22 #AS12831 TASK-AS, PL
178.217.248.0/21 #AS12831 TASK-AS, PL
194.169.236.0/24 #AS12831 TASK-AS, PL
213.192.64.0/18 #AS12831 TASK-AS, PL
84.40.152.0/23 #AS12887 NETIA-AS2, PL
84.40.155.0/24 #AS12887 NETIA-AS2, PL
84.40.156.0/22 #AS12887 NETIA-AS2, PL
84.40.216.0/24 #AS12887 NETIA-AS2, PL
84.40.218.0/23 #AS12887 NETIA-AS2, PL
84.40.220.0/22 #AS12887 NETIA-AS2, PL
84.40.232.0/22 #AS12887 NETIA-AS2, PL
84.40.237.0/24 #AS12887 NETIA-AS2, PL
84.40.238.0/23 #AS12887 NETIA-AS2, PL
93.159.0.0/22 #AS12887 NETIA-AS2, PL
93.159.4.0/23 #AS12887 NETIA-AS2, PL
93.159.7.0/24 #AS12887 NETIA-AS2, PL
93.159.12.0/23 #AS12887 NETIA-AS2, PL
93.159.14.0/24 #AS12887 NETIA-AS2, PL
93.159.16.0/23 #AS12887 NETIA-AS2, PL
93.159.18.0/24 #AS12887 NETIA-AS2, PL
93.159.20.0/24 #AS12887 NETIA-AS2, PL
93.159.22.0/24 #AS12887 NETIA-AS2, PL
93.159.24.0/22 #AS12887 NETIA-AS2, PL
93.159.28.0/24 #AS12887 NETIA-AS2, PL
93.159.33.0/24 #AS12887 NETIA-AS2, PL
93.159.34.0/23 #AS12887 NETIA-AS2, PL
93.159.36.0/24 #AS12887 NETIA-AS2, PL
93.159.40.0/24 #AS12887 NETIA-AS2, PL
93.159.42.0/24 #AS12887 NETIA-AS2, PL
93.159.45.0/24 #AS12887 NETIA-AS2, PL
93.159.46.0/23 #AS12887 NETIA-AS2, PL
93.159.48.0/23 #AS12887 NETIA-AS2, PL
93.159.55.0/24 #AS12887 NETIA-AS2, PL
93.159.57.0/24 #AS12887 NETIA-AS2, PL
93.159.58.0/23 #AS12887 NETIA-AS2, PL
93.159.60.0/22 #AS12887 NETIA-AS2, PL
185.72.184.0/22 #AS12887 NETIA-AS2, PL
185.164.140.0/22 #AS12887 NETIA-AS2, PL
194.9.78.0/23 #AS12887 NETIA-AS2, PL
195.85.209.0/24 #AS12887 NETIA-AS2, PL
195.128.172.0/23 #AS12887 NETIA-AS2, PL
195.128.180.0/23 #AS12887 NETIA-AS2, PL
195.160.174.0/23 #AS12887 NETIA-AS2, PL
37.30.0.0/15 #AS12912 TM, PL
46.204.0.0/15 #AS12912 TM, PL
62.29.128.0/17 #AS12912 TM, PL
62.152.128.0/19 #AS12912 TM, PL
78.133.128.0/17 #AS12912 TM, PL
83.220.96.0/19 #AS12912 TM, PL
85.202.56.0/23 #AS12912 TM, PL
85.219.128.0/17 #AS12912 TM, PL
89.174.0.0/16 #AS12912 TM, PL
91.213.239.0/24 #AS12912 TM, PL
91.223.23.0/24 #AS12912 TM, PL
94.42.0.0/16 #AS12912 TM, PL
157.25.0.0/16 #AS12912 TM, PL
178.180.0.0/14 #AS12912 TM, PL
188.146.0.0/15 #AS12912 TM, PL
193.33.42.0/23 #AS12912 TM, PL
193.91.1.0/24 #AS12912 TM, PL
193.91.6.0/23 #AS12912 TM, PL
193.105.75.0/24 #AS12912 TM, PL
193.105.242.0/24 #AS12912 TM, PL
193.110.80.0/24 #AS12912 TM, PL
194.9.68.0/24 #AS12912 TM, PL
195.94.192.0/19 #AS12912 TM, PL
195.225.69.0/24 #AS12912 TM, PL
212.38.192.0/19 #AS12912 TM, PL
212.203.128.0/17 #AS12912 TM, PL
213.158.192.0/19 #AS12912 TM, PL
213.218.96.0/19 #AS12912 TM, PL
217.8.160.0/19 #AS12912 TM, PL
217.153.0.0/16 #AS12912 TM, PL
193.227.216.0/21 #AS12966 , PL
192.175.48.1/32 #AS12968 CDP, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
31.41.136.0/21 #AS12985 TVKWSM-AS, PL
91.206.180.0/24 #AS12985 TVKWSM-AS, PL
141.105.16.0/21 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
195.88.186.0/24 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.128.0/21 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.137.0/24 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.138.0/23 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.140.0/24 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.142.0/23 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.146.0/23 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.148.0/22 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
213.180.153.0/24 #AS12990 ONET-PL-AS1 Onet.pl portal network, PL
193.218.115.0/24 #AS12992 PROSZYNSKI_MEDIA_AS, PL
62.182.224.0/21 #AS13000 LEON-AS, PL
87.101.64.0/20 #AS13000 LEON-AS, PL
87.239.192.0/21 #AS13000 LEON-AS, PL
89.200.224.0/21 #AS13000 LEON-AS, PL
91.195.134.0/23 #AS13000 LEON-AS, PL
91.195.158.0/23 #AS13000 LEON-AS, PL
91.195.190.0/23 #AS13000 LEON-AS, PL
91.200.24.0/22 #AS13000 LEON-AS, PL
91.207.64.0/23 #AS13000 LEON-AS, PL
91.208.247.0/24 #AS13000 LEON-AS, PL
91.214.24.0/22 #AS13000 LEON-AS, PL
185.191.246.0/24 #AS13000 LEON-AS, PL
188.137.0.0/17 #AS13000 LEON-AS, PL
193.34.112.0/22 #AS13000 LEON-AS, PL
193.93.92.0/22 #AS13000 LEON-AS, PL
193.150.36.0/23 #AS13000 LEON-AS, PL
195.3.200.0/22 #AS13000 LEON-AS, PL
195.66.73.0/24 #AS13000 LEON-AS, PL
89.28.224.0/21 #AS13065 ZIELMAN-COM-AS, PL
185.9.56.0/22 #AS13065 ZIELMAN-COM-AS, PL
212.109.144.0/20 #AS13065 ZIELMAN-COM-AS, PL
192.175.48.1/32 #AS13086 PIK-NET-AS PiK-Net Autonomous System, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
46.228.80.0/20 #AS13110 INEA-AS, PL
46.238.64.0/18 #AS13110 INEA-AS, PL
62.21.0.0/17 #AS13110 INEA-AS, PL
77.65.0.0/17 #AS13110 INEA-AS, PL
80.87.32.0/20 #AS13110 INEA-AS, PL
85.221.128.0/17 #AS13110 INEA-AS, PL
88.151.136.0/21 #AS13110 INEA-AS, PL
91.202.102.0/24 #AS13110 INEA-AS, PL
91.230.122.0/24 #AS13110 INEA-AS, PL
94.127.104.0/21 #AS13110 INEA-AS, PL
109.173.128.0/17 #AS13110 INEA-AS, PL
151.249.80.0/21 #AS13110 INEA-AS, PL
185.14.72.0/22 #AS13110 INEA-AS, PL
185.44.172.0/22 #AS13110 INEA-AS, PL
193.169.208.0/24 #AS13110 INEA-AS, PL
194.50.155.0/24 #AS13110 INEA-AS, PL
194.114.148.0/22 #AS13110 INEA-AS, PL
194.116.138.0/23 #AS13110 INEA-AS, PL
194.150.206.0/23 #AS13110 INEA-AS, PL
195.160.180.0/23 #AS13110 INEA-AS, PL
217.113.128.0/20 #AS13110 INEA-AS, PL
80.94.16.0/20 #AS13119 ACI-COM-AS, PL
212.14.48.0/20 #AS13119 ACI-COM-AS, PL
213.155.160.0/19 #AS13119 ACI-COM-AS, PL
185.210.158.0/24 #AS13274 MBANK-SA, PL
195.42.249.0/24 #AS13274 MBANK-SA, PL
212.191.230.0/24 #AS13293 PIONIER-AS-COM PIONIER, PL
212.191.233.0/24 #AS13293 PIONIER-AS-COM PIONIER, PL
212.191.234.0/24 #AS13293 PIONIER-AS-COM PIONIER, PL
212.191.236.0/24 #AS13293 PIONIER-AS-COM PIONIER, PL
212.191.242.0/24 #AS13293 PIONIER-AS-COM PIONIER, PL
212.87.224.0/20 #AS15373 CZESTMAN-AS Academic AS dedicated to Metropolitan Area Network CzestMAN, PL
212.87.251.0/24 #AS15373 CZESTMAN-AS Academic AS dedicated to Metropolitan Area Network CzestMAN, PL
212.87.253.0/24 #AS15373 CZESTMAN-AS Academic AS dedicated to Metropolitan Area Network CzestMAN, PL
45.145.208.0/22 #AS15391 SYSCL1, PL
45.146.44.0/22 #AS15391 SYSCL1, PL
45.155.0.0/22 #AS15391 SYSCL1, PL
185.122.136.0/22 #AS15391 SYSCL1, PL
185.242.32.0/22 #AS15391 SYSCL1, PL
193.22.240.0/23 #AS15391 SYSCL1, PL
193.22.246.0/23 #AS15391 SYSCL1, PL
213.135.42.0/24 #AS15396 ICM-COM ICM, PL
193.239.60.0/22 #AS15470 AVERTECH AverTech Sp. z o.o., PL
195.225.212.0/22 #AS15470 AVERTECH AverTech Sp. z o.o., PL
192.175.48.1/32 #AS15503 MULTINET-SA SwiatInternet - Grupa Netia, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.201.36.0/24 #AS15507 IT3GNS-P4-AS, PL
62.121.128.0/22 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.132.0/23 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.135.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.136.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.138.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.141.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.142.0/23 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.144.0/23 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.146.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.148.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.150.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
62.121.152.0/24 #AS15541 CETI-AS CETI ISP, Poland, PL
192.175.48.1/32 #AS15563 ALIOR-AS15563 Alior Bank S.A., PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS15587 CDPP, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.195.72.0/24 #AS15606 NASK-DNS-ANYCAST, PL
194.153.115.0/24 #AS15618 PLIVA-AS, PL
91.231.100.0/22 #AS15624 OKITECH, PL
213.135.32.0/21 #AS15665 WOLA-AS Campus Wola autonomous system, PL
213.135.40.0/23 #AS15665 WOLA-AS Campus Wola autonomous system, PL
46.229.144.0/20 #AS15694 ATMAN-ISP-AS ATM S.A., PL
77.79.192.0/18 #AS15694 ATMAN-ISP-AS ATM S.A., PL
78.41.58.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
85.232.224.0/19 #AS15694 ATMAN-ISP-AS ATM S.A., PL
91.214.180.0/22 #AS15694 ATMAN-ISP-AS ATM S.A., PL
91.237.18.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
185.123.124.0/22 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.27.82.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.107.164.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.109.123.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.201.34.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.222.131.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
194.50.83.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
194.61.66.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
194.150.230.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
194.169.229.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
195.137.189.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
195.167.144.0/20 #AS15694 ATMAN-ISP-AS ATM S.A., PL
195.238.236.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
206.252.224.0/19 #AS15694 ATMAN-ISP-AS ATM S.A., PL
212.91.4.0/22 #AS15694 ATMAN-ISP-AS ATM S.A., PL
212.91.10.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
212.91.12.0/23 #AS15694 ATMAN-ISP-AS ATM S.A., PL
212.91.14.0/24 #AS15694 ATMAN-ISP-AS ATM S.A., PL
212.91.16.0/20 #AS15694 ATMAN-ISP-AS ATM S.A., PL
213.189.32.0/19 #AS15694 ATMAN-ISP-AS ATM S.A., PL
217.17.32.0/20 #AS15694 ATMAN-ISP-AS ATM S.A., PL
217.149.240.0/20 #AS15694 ATMAN-ISP-AS ATM S.A., PL
193.111.26.0/23 #AS15728 RMF-KRAKOW-, PL
83.230.0.0/18 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
83.230.80.0/20 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
195.82.160.0/19 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
212.106.128.0/19 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
212.106.160.0/20 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
213.227.64.0/20 #AS15744 SILWEB-AS-COM SILWEB Autonomous System - Commercial, PL
192.175.48.1/32 #AS15772 LOADME, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
212.69.77.0/24 #AS15787 MAGO-AS, PL
5.172.184.0/22 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.73.0.0/21 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.73.20.0/22 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.73.24.0/22 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.73.28.0/23 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.73.30.0/24 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.184.0.0/20 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.184.16.0/21 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
213.184.24.0/22 #AS15798 OLMAN-EDU-AS OLMAN, Metropolitan Area Network educational AS, PL
212.127.64.0/19 #AS15851 WASK-COM WROCMAN-COM non-educational part of WASK network, Wroclaw,Poland, PL
213.231.192.0/18 #AS15851 WASK-COM WROCMAN-COM non-educational part of WASK network, Wroclaw,Poland, PL
192.175.48.1/32 #AS15855 AERO2, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS15857 DIALOG-AS, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
37.130.0.0/18 #AS15874 INTERKAM, PL
91.231.26.0/24 #AS15874 INTERKAM, PL
185.237.56.0/22 #AS15874 INTERKAM, PL
194.42.40.0/24 #AS15902 Autonomous System, PL
31.172.168.0/22 #AS15967 NETARTGROUP, PL
45.141.32.0/23 #AS15967 NETARTGROUP, PL
45.141.34.0/24 #AS15967 NETARTGROUP, PL
77.55.0.0/16 #AS15967 NETARTGROUP, PL
85.128.128.0/17 #AS15967 NETARTGROUP, PL
185.248.212.0/22 #AS15967 NETARTGROUP, PL
185.255.40.0/22 #AS15967 NETARTGROUP, PL
45.86.212.0/22 #AS15969 SYSTEMIA-AS, PL
46.227.240.0/21 #AS15969 SYSTEMIA-AS, PL
185.7.168.0/22 #AS15969 SYSTEMIA-AS, PL
194.187.72.0/22 #AS15969 SYSTEMIA-AS, PL
195.110.48.0/23 #AS15969 SYSTEMIA-AS, PL
195.35.80.0/24 #AS15993 Akcyjna, PL
82.214.128.0/18 #AS15997 ITSA ITSA Autonomous System, PL
213.161.96.0/19 #AS15997 ITSA ITSA Autonomous System, PL
217.67.192.0/19 #AS15997 ITSA ITSA Autonomous System, PL
5.63.185.0/24 #AS16110 PODKARPACKI-NET-AS, PL
46.174.208.0/23 #AS16110 PODKARPACKI-NET-AS, PL
46.174.211.0/24 #AS16110 PODKARPACKI-NET-AS, PL
46.174.212.0/22 #AS16110 PODKARPACKI-NET-AS, PL
185.69.192.0/22 #AS16138 INTERIA, PL
217.74.64.0/20 #AS16138 INTERIA, PL
185.243.0.0/24 #AS16167 MBANK-SA ul. Prosta 18, PL
193.41.230.0/24 #AS16167 MBANK-SA ul. Prosta 18, PL
195.234.141.0/24 #AS16182 ERSTE_BANK_POLSKA_S_A, PL
193.111.144.0/22 #AS16263 RAMAN, PL
193.193.181.0/24 #AS16274 BSKNET, PL
194.0.96.0/22 #AS16274 BSKNET, PL
212.51.200.0/22 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
212.51.205.0/24 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
212.51.206.0/24 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
212.191.128.0/18 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
212.191.192.0/19 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
212.191.254.0/23 #AS16283 LODMAN-AS2 Metropolitan Area Network LODMAN, PL
193.178.161.0/24 #AS16288 KABUM_AS SFIRES.net, PL
84.23.160.0/19 #AS16290 TARMAN Tarnow, PL
217.117.128.0/22 #AS16290 TARMAN Tarnow, PL
217.117.136.0/21 #AS16290 TARMAN Tarnow, PL
195.130.212.0/24 #AS16291 GRUDNIK-KRK-, PL
80.241.128.0/21 #AS16296 TWINIX-AS, PL
31.182.0.0/15 #AS16342 TOYA TOYA Sp. z o.o., PL
77.237.0.0/19 #AS16342 TOYA TOYA Sp. z o.o., PL
85.89.160.0/19 #AS16342 TOYA TOYA Sp. z o.o., PL
185.67.216.0/22 #AS16342 TOYA TOYA Sp. z o.o., PL
217.113.224.0/20 #AS16342 TOYA TOYA Sp. z o.o., PL
194.1.201.0/24 #AS16380 MILLENNIUM-DM-AS, PL
5.252.202.0/24 #AS20486 ECARD-AS Warsaw, Poland, PL
193.178.213.0/24 #AS20486 ECARD-AS Warsaw, Poland, PL
193.178.240.0/22 #AS20491 ASWASKO, PL
91.199.97.0/24 #AS20552 HORYZONT, PL
91.216.30.0/24 #AS20552 HORYZONT, PL
93.105.72.0/23 #AS20552 HORYZONT, PL
93.105.74.0/24 #AS20552 HORYZONT, PL
164.40.240.0/21 #AS20552 HORYZONT, PL
178.235.240.0/23 #AS20552 HORYZONT, PL
185.24.200.0/22 #AS20552 HORYZONT, PL
185.52.168.0/22 #AS20552 HORYZONT, PL
185.119.12.0/22 #AS20552 HORYZONT, PL
217.168.128.0/20 #AS20552 HORYZONT, PL
217.168.192.0/20 #AS20553 HPPOLAND-AS, PL
213.135.44.0/22 #AS20555 WIT WIT University, PL
213.135.48.0/23 #AS20555 WIT WIT University, PL
185.178.96.0/22 #AS20592 RSSWS-AS, PL
212.115.116.0/23 #AS20592 RSSWS-AS, PL
212.115.118.0/24 #AS20592 RSSWS-AS, PL
193.178.167.0/24 #AS20656 ELEKTRIM-AS, PL
31.131.168.0/21 #AS20670 INFANET-AS, PL
45.93.228.0/22 #AS20670 INFANET-AS, PL
91.210.76.0/22 #AS20670 INFANET-AS, PL
185.37.32.0/22 #AS20670 INFANET-AS, PL
193.138.110.0/24 #AS20763 BPH, PL
81.15.128.0/17 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
82.177.0.0/16 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
88.220.0.0/17 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
88.220.128.0/18 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
88.220.208.0/20 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
88.220.224.0/19 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
194.183.32.0/19 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
195.136.0.0/16 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
213.172.160.0/19 #AS20804 ASN-TELENERGO ul. PERKUNA 47, WARSZAWA, PL
193.108.194.0/24 #AS20808 AS-BGZ ul. Kasprzaka 1016, PL
31.31.168.0/21 #AS20853 ETOP-AS, PL
31.56.145.0/24 #AS20853 ETOP-AS, PL
45.145.217.0/24 #AS20853 ETOP-AS, PL
46.203.196.0/24 #AS20853 ETOP-AS, PL
46.203.202.0/24 #AS20853 ETOP-AS, PL
46.203.207.0/24 #AS20853 ETOP-AS, PL
46.203.210.0/24 #AS20853 ETOP-AS, PL
46.203.212.0/24 #AS20853 ETOP-AS, PL
46.203.216.0/24 #AS20853 ETOP-AS, PL
46.203.220.0/24 #AS20853 ETOP-AS, PL
66.225.236.0/24 #AS20853 ETOP-AS, PL
75.102.15.0/24 #AS20853 ETOP-AS, PL
77.95.234.0/23 #AS20853 ETOP-AS, PL
77.95.236.0/22 #AS20853 ETOP-AS, PL
79.133.192.0/19 #AS20853 ETOP-AS, PL
80.72.32.0/20 #AS20853 ETOP-AS, PL
91.216.224.0/24 #AS20853 ETOP-AS, PL
92.112.146.0/24 #AS20853 ETOP-AS, PL
92.112.149.0/24 #AS20853 ETOP-AS, PL
92.112.151.0/24 #AS20853 ETOP-AS, PL
92.112.152.0/23 #AS20853 ETOP-AS, PL
92.112.156.0/24 #AS20853 ETOP-AS, PL
92.113.93.0/24 #AS20853 ETOP-AS, PL
92.113.115.0/24 #AS20853 ETOP-AS, PL
92.113.119.0/24 #AS20853 ETOP-AS, PL
92.113.126.0/24 #AS20853 ETOP-AS, PL
92.113.132.0/24 #AS20853 ETOP-AS, PL
104.222.161.0/24 #AS20853 ETOP-AS, PL
104.222.167.0/24 #AS20853 ETOP-AS, PL
104.222.168.0/24 #AS20853 ETOP-AS, PL
167.88.146.0/24 #AS20853 ETOP-AS, PL
168.199.247.0/24 #AS20853 ETOP-AS, PL
185.7.104.0/22 #AS20853 ETOP-AS, PL
185.30.124.0/22 #AS20853 ETOP-AS, PL
185.40.196.0/22 #AS20853 ETOP-AS, PL
185.73.228.0/22 #AS20853 ETOP-AS, PL
185.198.37.0/24 #AS20853 ETOP-AS, PL
185.226.206.0/24 #AS20853 ETOP-AS, PL
193.104.99.0/24 #AS20853 ETOP-AS, PL
194.29.67.0/24 #AS20853 ETOP-AS, PL
204.93.147.0/24 #AS20853 ETOP-AS, PL
204.217.163.0/24 #AS20853 ETOP-AS, PL
205.234.154.0/24 #AS20853 ETOP-AS, PL
216.246.106.0/24 #AS20853 ETOP-AS, PL
91.206.38.0/23 #AS20889 A41-AS, PL
194.50.37.0/24 #AS20889 A41-AS, PL
193.108.202.0/24 #AS20898 PENET, PL
91.217.171.0/24 #AS20909 CONTIUM-AS, PL
193.238.92.0/22 #AS20938 RETSAT, PL
195.13.38.0/23 #AS20938 RETSAT, PL
195.26.22.0/23 #AS20938 RETSAT, PL
192.175.48.1/32 #AS20947 UPC-PL-NET, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
78.131.128.0/17 #AS20960 TKTELEKOM-AS, PL
82.160.0.0/16 #AS20960 TKTELEKOM-AS, PL
88.199.0.0/16 #AS20960 TKTELEKOM-AS, PL
94.40.0.0/16 #AS20960 TKTELEKOM-AS, PL
213.199.192.0/18 #AS20960 TKTELEKOM-AS, PL
192.175.48.1/32 #AS20961 PTCNET-AS, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.109.244.0/23 #AS20983 PZU-AS, PL
62.87.254.0/24 #AS21010 KGHM-AS Poland Polkowice, PL
31.6.128.0/18 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
31.6.192.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
31.42.16.0/20 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
37.131.128.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
37.190.128.0/17 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
46.186.0.0/17 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
46.231.56.0/21 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
62.61.32.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
62.141.192.0/18 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
80.244.128.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
80.245.176.0/20 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
81.190.0.0/16 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
82.115.64.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
83.68.64.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
84.38.80.0/20 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
85.117.0.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
87.116.192.0/18 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
89.17.224.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
89.228.0.0/14 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
92.42.112.0/21 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
93.94.184.0/21 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
94.78.128.0/18 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
94.251.128.0/17 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
95.129.224.0/21 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
95.174.32.0/19 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
176.107.112.0/21 #AS21021 MULTIMEDIA-AS Cable DTV Internet Voice Provider in Poland., PL
