192.175.48.1/32 #AS58 SSC-299-Z-58 - Shared Services Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
142.205.0.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.2.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.9.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.10.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.13.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.18.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.25.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.63.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.92.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.94.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.104.0/22 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.108.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.112.0/22 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.116.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.118.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.120.0/21 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.129.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.130.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.143.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.144.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.152.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.156.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.158.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.160.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.168.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.174.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.180.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.202.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.206.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.208.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.216.0/22 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.232.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.240.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
142.205.248.0/24 #AS7734 TDBANK - Toronto Dominion Bank, CA
162.12.220.0/22 #AS7734 TDBANK - Toronto Dominion Bank, CA
162.12.236.0/23 #AS7734 TDBANK - Toronto Dominion Bank, CA
199.58.80.0/22 #AS7765 KOUMBIT - Koumbit, CA
192.175.48.1/32 #AS7780 AS7780-ROGERS-COM - Rogers Communications Canada Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7781 NETCONNECT - Accelerated Connections Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7788 MAGMA-COMM - Magma Communications Ltd., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
23.248.0.0/17 #AS7794 EXECULINK - Execulink Telecom Inc., CA
23.248.128.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
64.39.160.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
64.118.224.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
66.203.160.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
67.158.64.0/20 #AS7794 EXECULINK - Execulink Telecom Inc., CA
69.63.32.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
104.194.32.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
199.166.6.0/24 #AS7794 EXECULINK - Execulink Telecom Inc., CA
199.166.210.0/24 #AS7794 EXECULINK - Execulink Telecom Inc., CA
199.185.192.0/20 #AS7794 EXECULINK - Execulink Telecom Inc., CA
206.131.224.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
209.35.208.0/20 #AS7794 EXECULINK - Execulink Telecom Inc., CA
209.183.128.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
209.204.192.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
209.213.224.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
209.239.0.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
216.59.224.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
216.75.160.0/19 #AS7794 EXECULINK - Execulink Telecom Inc., CA
192.175.48.1/32 #AS7826 HME-AS1 - Canada Connect Corp., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
137.149.0.0/16 #AS7860 UPEI-AS - University of Prince Edward Island, CA
64.114.189.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
154.11.131.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
204.191.2.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
204.191.4.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
204.191.175.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
207.34.120.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
207.34.206.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
207.167.232.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
207.229.36.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.20.32.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.20.38.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.141.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.160.0/22 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.216.0/22 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.222.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.226.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.242.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.29.245.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.89.78.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.75.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.77.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.88.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.90.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.95.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.108.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.115.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.116.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.91.119.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.115.158.0/23 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
209.121.167.0/24 #AS7861 TELUS-7861 - TELUS Communications Inc., CA
192.175.48.1/32 #AS7873 MICROTEC-AS - MICROTEC TECHNOLOGIES INC., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
130.51.72.0/22 #AS7883 FLEETTEL-AS02 - Fleettel INC., CA
199.119.72.0/24 #AS7883 FLEETTEL-AS02 - Fleettel INC., CA
199.247.159.0/24 #AS7885 YUKONCOLLEGE - Yukon University, CA
192.175.48.1/32 #AS7928 AICOM-AS - AIC Asia International Services Corporation, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS7940 JCI-INC - JC International Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
142.87.0.0/16 #AS7950 HC-AS - Holland College, CA
192.175.48.1/32 #AS7969 CYB-VAN - CYBERION NETWORKING CORP., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
23.91.80.0/20 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.36.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.50.32.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.51.224.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.55.192.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.57.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.141.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.143.160.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.146.0.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.150.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.156.192.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.157.64.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.204.192.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.226.0.0/17 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
24.235.128.0/17 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
45.78.160.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
50.115.176.0/20 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
57.134.128.0/17 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
67.193.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
72.38.0.0/15 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
80.86.16.0/20 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
108.162.64.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
156.45.128.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
159.26.0.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
165.245.0.0/17 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
173.238.0.0/16 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
192.69.236.0/22 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
192.171.64.0/20 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
192.186.64.0/18 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
198.206.158.0/23 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
199.198.216.0/23 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
205.196.32.0/20 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
209.15.128.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
209.209.71.0/24 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
216.121.128.0/17 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
216.221.64.0/19 #AS7992 COGECOWAVE - Cogeco Connexion Inc., CA
192.175.48.1/32 #AS8013 TELUS-AS-8013 - TELUS Communications Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8090 X-YEG - Crossfire Information Systems, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
129.173.0.0/16 #AS8111 DALUNIV - Dalhousie University, CA
134.190.0.0/16 #AS8111 DALUNIV - Dalhousie University, CA
140.184.0.0/16 #AS8111 DALUNIV - Dalhousie University, CA
140.230.0.0/16 #AS8111 DALUNIV - Dalhousie University, CA
192.75.96.0/23 #AS8111 DALUNIV - Dalhousie University, CA
192.75.138.0/24 #AS8111 DALUNIV - Dalhousie University, CA
198.166.233.0/24 #AS8111 DALUNIV - Dalhousie University, CA
192.175.48.1/32 #AS8153 NORTELRCH2 - Nortel Northern Telecom, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8165 DATABOSS - DataBoss Inc, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8183 INTERNETSECURE-AS - InternetSecure Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS8187 ALIANT - Bell Canada, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
148.227.175.0/24 #AS10261 B3ZDNA - B3zdna Systems Inc., CA
199.166.11.0/24 #AS10264 SCOTIACAPTIAL - Scotia Capital Inc., CA
199.166.12.0/24 #AS10264 SCOTIACAPTIAL - Scotia Capital Inc., CA
204.101.111.0/24 #AS10264 SCOTIACAPTIAL - Scotia Capital Inc., CA
205.210.218.0/23 #AS10264 SCOTIACAPTIAL - Scotia Capital Inc., CA
142.204.0.0/18 #AS10265 SENECA-ASN-01 - Seneca College of Applied Arts and Technology, CA
205.189.240.0/21 #AS10329 INFOSHARE - CoreLAN Communications, Inc., CA
192.175.48.1/32 #AS10341 IBC-AS - IBC, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10354 GLOBETROTTER - QuebecTel Communications Inc, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
204.209.208.0/22 #AS10482 SHAW-COMMUNICATIONS - Shaw Communications, CA
204.209.212.0/23 #AS10482 SHAW-COMMUNICATIONS - Shaw Communications, CA
205.210.156.0/23 #AS10520 EXECULINK - Execulink Telecom Inc., CA
192.175.48.1/32 #AS10533 OTTIX - Hypnovista Network Services, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10566 VIAGENIE - ViaGenie Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10568 PROXY-ASN - Proxy Communications Corporation, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10570 HYPNO-NTT - NTT Software, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10626 INTRANET-INC - Intranet Technologies Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
206.130.183.0/24 #AS10678 TRENDS-NET - @trends.ca, CA
216.126.88.0/24 #AS10678 TRENDS-NET - @trends.ca, CA
192.175.48.1/32 #AS10687 DISTRIBUTEL-AS10687 - Distributel Communications Limited, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS10751 GTS-ASN - G.T.S., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
23.174.216.0/24 #AS10804 MFNM-AS - Matawa First Nations Management, CA
199.198.134.0/23 #AS10808 THE-GLOBE-AND-MAIL - The Globe and Mail, CA
199.198.136.0/22 #AS10808 THE-GLOBE-AND-MAIL - The Globe and Mail, CA
192.175.48.1/32 #AS10856 LINKDATA - LINKDATA COMMUNICATIONS INC, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
66.129.128.0/19 #AS10865 EBOX-AS10865 - B2B2C Inc, CA
205.233.210.0/24 #AS10865 EBOX-AS10865 - B2B2C Inc, CA
205.236.224.0/24 #AS10865 EBOX-AS10865 - B2B2C Inc, CA
38.180.12.0/23 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
38.180.126.0/23 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
64.15.64.0/20 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
66.43.48.0/20 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
67.212.64.0/19 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
68.71.32.0/19 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
69.80.228.0/22 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
69.165.80.0/22 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
173.247.208.0/20 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
184.170.128.0/20 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
192.154.136.0/21 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
199.119.252.0/22 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
199.193.52.0/22 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
204.147.76.0/22 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
205.204.64.0/19 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
209.44.96.0/19 #AS10929 ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA
192.139.69.0/24 #AS10965 MRNET - MRNet, CA
192.245.51.0/24 #AS10965 MRNET - MRNet, CA
207.161.235.0/24 #AS10965 MRNET - MRNet, CA
198.165.161.0/24 #AS10972 NF-CANET2 - Memorial University, NF CAnet 2 gigaPOP, CA
74.3.144.0/22 #AS10980 STAFFORD - Stafford Communications, Inc., CA
198.167.164.0/22 #AS10980 STAFFORD - Stafford Communications, Inc., CA
208.77.140.0/22 #AS10980 STAFFORD - Stafford Communications, Inc., CA
216.239.64.0/19 #AS10996 CONCORDE - Concorde inc., CA
103.58.182.0/23 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
103.61.42.0/23 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
162.219.232.0/22 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
162.219.236.0/23 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
162.219.238.0/24 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
185.108.12.0/24 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
185.108.14.0/24 #AS11031 ORBIS-INVESTMENTS - Orbis Investments Canada Limited, CA
192.77.50.0/23 #AS11032 UQ - Universite du Quebec, CA
192.139.12.0/23 #AS11032 UQ - Universite du Quebec, CA
192.139.148.0/24 #AS11032 UQ - Universite du Quebec, CA
192.139.150.0/24 #AS11032 UQ - Universite du Quebec, CA
198.168.44.0/23 #AS11032 UQ - Universite du Quebec, CA
207.162.1.0/24 #AS11032 UQ - Universite du Quebec, CA
207.162.8.0/24 #AS11032 UQ - Universite du Quebec, CA
207.162.11.0/24 #AS11032 UQ - Universite du Quebec, CA
207.162.25.0/24 #AS11032 UQ - Universite du Quebec, CA
207.162.29.0/24 #AS11032 UQ - Universite du Quebec, CA
207.162.30.0/23 #AS11032 UQ - Universite du Quebec, CA
207.162.32.0/20 #AS11032 UQ - Universite du Quebec, CA
192.175.48.1/32 #AS11033 ASN-LYNXNET-CA - LYNXNET., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS11037 MMC-324-ASN01 - Mohawk Medbuy Corporation, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
46.33.20.0/24 #AS11075 ASN-MAGNA-18-IPV6-40-01 - Malleum, CA
38.69.130.0/24 #AS11077 XBASE-ASN1 - XBASE Technologies Corp., CA
38.117.75.0/24 #AS11077 XBASE-ASN1 - XBASE Technologies Corp., CA
198.96.113.0/24 #AS11077 XBASE-ASN1 - XBASE Technologies Corp., CA
67.21.96.0/20 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
67.220.32.0/20 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
96.44.32.0/19 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
173.255.64.0/20 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
199.114.240.0/21 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
216.46.128.0/19 #AS11084 HURONTEL - Huron Telecommunications Cooperative Limited, CA
192.175.48.1/32 #AS11093 SAFENET-1 - SAFE, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS11103 EXECULINK-CORP - Execulink Telecom Inc., CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
142.58.0.0/16 #AS11105 SFU-AS - Simon Fraser University, CA
192.75.240.0/21 #AS11105 SFU-AS - Simon Fraser University, CA
199.60.0.0/20 #AS11105 SFU-AS - Simon Fraser University, CA
199.60.16.0/23 #AS11105 SFU-AS - Simon Fraser University, CA
199.60.18.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
204.239.18.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.6.0/23 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.10.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.16.0/23 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.24.0/22 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.29.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.120.0/21 #AS11105 SFU-AS - Simon Fraser University, CA
206.12.128.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
207.23.85.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
207.23.160.0/19 #AS11105 SFU-AS - Simon Fraser University, CA
207.23.192.0/19 #AS11105 SFU-AS - Simon Fraser University, CA
209.87.31.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
209.87.60.0/24 #AS11105 SFU-AS - Simon Fraser University, CA
192.175.48.1/32 #AS11119 MMC - Mercer Canada Limited, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS11175 DISTRIBUTEL-AS11175 - Distributel Communications Limited, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.161.96.0/19 #AS11181 VAXXINE - Vaxxine Computer Systems Inc., CA
209.159.176.0/20 #AS11181 VAXXINE - Vaxxine Computer Systems Inc., CA
192.175.48.1/32 #AS11216 HOSTCENTRIC - Aptum Technologies, CA - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
199.114.252.0/22 #AS11239 SKYCOMP-01 - Skycomp Solutions Inc., CA
199.168.248.0/22 #AS11239 SKYCOMP-01 - Skycomp Solutions Inc., CA
205.210.228.0/22 #AS11239 SKYCOMP-01 - Skycomp Solutions Inc., CA
142.66.0.0/16 #AS11257 UNIVERSITY-LETHBRIDGE - University of Lethbridge, CA
24.89.192.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.129.224.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
24.137.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.138.0.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.138.64.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
24.138.128.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.139.0.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
24.142.0.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.207.0.0/17 #AS11260 EASTLINK-HSI - EastLink, CA
24.215.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
24.222.0.0/16 #AS11260 EASTLINK-HSI - EastLink, CA
24.224.128.0/17 #AS11260 EASTLINK-HSI - EastLink, CA
24.231.64.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
24.235.32.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
52.124.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
63.135.0.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
64.178.128.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
65.255.176.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
66.103.32.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
66.206.224.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
67.22.64.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
67.58.192.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
67.204.192.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
67.213.96.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
71.7.128.0/17 #AS11260 EASTLINK-HSI - EastLink, CA
76.11.0.0/17 #AS11260 EASTLINK-HSI - EastLink, CA
96.30.128.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
100.42.240.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
104.37.20.0/22 #AS11260 EASTLINK-HSI - EastLink, CA
104.219.12.0/22 #AS11260 EASTLINK-HSI - EastLink, CA
142.67.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
142.67.128.0/17 #AS11260 EASTLINK-HSI - EastLink, CA
148.64.64.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
148.170.128.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
149.19.96.0/21 #AS11260 EASTLINK-HSI - EastLink, CA
162.222.56.0/21 #AS11260 EASTLINK-HSI - EastLink, CA
162.222.240.0/22 #AS11260 EASTLINK-HSI - EastLink, CA
173.212.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
173.237.96.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
173.252.0.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
198.90.80.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
199.255.216.0/21 #AS11260 EASTLINK-HSI - EastLink, CA
206.132.48.0/20 #AS11260 EASTLINK-HSI - EastLink, CA
206.223.152.0/23 #AS11260 EASTLINK-HSI - EastLink, CA
208.96.64.0/18 #AS11260 EASTLINK-HSI - EastLink, CA
208.103.224.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
216.104.96.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
216.167.224.0/19 #AS11260 EASTLINK-HSI - EastLink, CA
108.160.81.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
108.160.82.0/23 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
108.160.89.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
108.160.90.0/23 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
108.160.92.0/22 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
131.226.15.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
149.112.130.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
163.182.219.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
163.182.220.0/22 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
163.182.224.0/22 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
163.182.231.0/24 #AS11287 AS-MSEA - Mitchell Seaforth Cable T. V. Ltd., CA
