202.65.10.0/23 #AS17641 MGH-INFOTECH-AS-AP MGH INFOTECH LTD. Infotech AS, BD
114.130.0.0/17 #AS17806 MANGOTELESERVICE-AS-BD Tire-1 IP Transit Provider of Bangladesh, BD
192.175.48.1/32 #AS17892 GAZI-OUT1-AS-AP GAZI COMMUNICATIONS, VSAT TELEPORT OPERATOR, DHAKA, BANGLADESH, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS18012 ACCESSTEL-AS-AP Access Telecom BD Ltd., BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.72.214.0/23 #AS18022 SMART-AS-AP Ali Sumon ta SMART NET, BD
192.175.48.1/32 #AS18060 BANGLADESH-AS-AP Bangladesh Submarine Cable Company Limited BSCCL, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
103.86.196.0/22 #AS18109 MAISHANET-AS-AP MAISHA NET, BD
119.148.100.0/22 #AS18109 MAISHANET-AS-AP MAISHA NET, BD
157.20.114.0/23 #AS18109 MAISHANET-AS-AP MAISHA NET, BD
103.161.217.0/24 #AS18155 BISPIET-AS-AP Bangladesh Internet Service Provider Internet Exchange Trust, BD
59.152.9.0/24 #AS18230 ZIPNETBD-DKB-AS-AP Zipnet Limited DKB AS number, BD
59.152.10.0/23 #AS18230 ZIPNETBD-DKB-AS-AP Zipnet Limited DKB AS number, BD
59.152.12.0/23 #AS18230 ZIPNETBD-DKB-AS-AP Zipnet Limited DKB AS number, BD
27.147.128.0/17 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
43.225.204.0/24 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.44.151.0/24 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.141.66.0/23 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.197.152.0/22 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.230.40.0/23 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.232.100.0/22 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
123.200.0.0/19 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
163.47.32.0/22 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
203.76.96.0/19 #AS23688 LINK3-TECH-AS-BD-AP Link3 Technologies Ltd., BD
103.29.239.0/24 #AS23729 ALO-AS-AP Alo Communications limited, BD
103.100.92.0/22 #AS23729 ALO-AS-AP Alo Communications limited, BD
118.179.0.0/21 #AS23729 ALO-AS-AP Alo Communications limited, BD
103.110.212.0/23 #AS23876 BDNIX-AS-BD Bangladesh National intenet exchange, BD
123.49.43.0/24 #AS23876 BDNIX-AS-BD Bangladesh National intenet exchange, BD
218.100.37.0/24 #AS23876 BDNIX-AS-BD Bangladesh National intenet exchange, BD
180.210.128.0/22 #AS23893 BPL-BD Bangla Phone Ltd, BD
180.210.135.0/24 #AS23893 BPL-BD Bangla Phone Ltd, BD
180.210.150.0/23 #AS23893 BPL-BD Bangla Phone Ltd, BD
116.68.192.0/20 #AS23923 AGNI-AS Agni Systems Limited, BD
119.148.0.0/18 #AS23923 AGNI-AS Agni Systems Limited, BD
182.252.64.0/19 #AS23923 AGNI-AS Agni Systems Limited, BD
202.53.160.0/20 #AS23923 AGNI-AS Agni Systems Limited, BD
118.179.32.0/19 #AS23956 AMBERIT-BD-AS AmberIT Limited, BD
118.179.64.0/18 #AS23956 AMBERIT-BD-AS AmberIT Limited, BD
118.179.128.0/18 #AS23956 AMBERIT-BD-AS AmberIT Limited, BD
118.179.192.0/19 #AS23956 AMBERIT-BD-AS AmberIT Limited, BD
202.4.96.0/19 #AS23956 AMBERIT-BD-AS AmberIT Limited, BD
103.35.108.0/22 #AS23991 RANKS-AS-BD Ranks ITT Ltd., BD
103.111.88.0/23 #AS23991 RANKS-AS-BD Ranks ITT Ltd., BD
202.40.176.0/20 #AS23991 RANKS-AS-BD Ranks ITT Ltd., BD
43.243.204.0/22 #AS24122 BDCOM-BD-AS-AP BDCOM Online Limited, BD
103.16.72.0/22 #AS24122 BDCOM-BD-AS-AP BDCOM Online Limited, BD
119.40.80.0/20 #AS24122 BDCOM-BD-AS-AP BDCOM Online Limited, BD
210.4.64.0/20 #AS24122 BDCOM-BD-AS-AP BDCOM Online Limited, BD
192.175.48.1/32 #AS24307 AFTABIT-AS AFTAB IT AS Number for BDIX Peering, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS24308 DAFFODILBD-AS Daffodil Online AS for BDIX Connection, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
43.245.192.0/23 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
43.245.194.0/24 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
45.64.132.0/22 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
103.4.64.0/22 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
103.39.196.0/23 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
103.137.52.0/23 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
103.231.176.0/22 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
103.243.80.0/22 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
116.206.44.0/24 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
116.206.56.0/22 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
116.206.60.0/24 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
116.206.62.0/23 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
150.107.55.0/24 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
182.160.96.0/19 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
202.74.240.0/21 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
203.190.254.0/23 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
203.202.240.0/20 #AS24323 AAMRA-NETWORKS-AS-AP aamra networks limited, BD
115.127.0.0/17 #AS24342 BRAC-BDMAIL-AS-BD BRACNet Limited, BD
115.127.128.0/18 #AS24342 BRAC-BDMAIL-AS-BD BRACNet Limited, BD
115.127.192.0/19 #AS24342 BRAC-BDMAIL-AS-BD BRACNet Limited, BD
202.168.224.0/19 #AS24342 BRAC-BDMAIL-AS-BD BRACNet Limited, BD
103.9.104.0/24 #AS24382 BIGMEDIALIMITED-AS-AP Big Media Limited, BD
103.44.150.0/24 #AS24382 BIGMEDIALIMITED-AS-AP Big Media Limited, BD
37.111.192.0/20 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.208.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.210.0/23 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.212.0/22 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.216.0/21 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.224.0/20 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.240.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.242.0/23 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.244.0/22 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.248.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
37.111.253.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.32.0/23 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.34.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.36.0/22 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.41.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.42.0/23 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.44.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
119.30.47.0/24 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
123.108.240.0/21 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
202.56.4.0/22 #AS24389 GRAMEENPHONE-AS-AP GrameenPhone Ltd., BD
36.255.80.0/22 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
42.0.4.0/22 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
58.145.184.0/21 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.25.248.0/22 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.31.152.0/22 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.73.46.0/23 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.87.250.0/23 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.132.178.0/23 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.242.20.0/22 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
202.134.8.0/21 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
202.181.18.0/23 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
203.13.162.0/23 #AS24432 AXIATA-ROBI-AS-AP TM International Bangladesh Ltd.Internet service Provider,Gulshan-1,Dhaka-1212, BD
103.113.196.0/23 #AS24556 BIJOY-BD-AS-AP Bijoy Online Ltd. Multihome Internet Service Provider, BD
103.113.199.0/24 #AS24556 BIJOY-BD-AS-AP Bijoy Online Ltd. Multihome Internet Service Provider, BD
103.199.108.0/22 #AS24556 BIJOY-BD-AS-AP Bijoy Online Ltd. Multihome Internet Service Provider, BD
137.59.48.0/22 #AS24556 BIJOY-BD-AS-AP Bijoy Online Ltd. Multihome Internet Service Provider, BD
202.191.120.0/21 #AS24556 BIJOY-BD-AS-AP Bijoy Online Ltd. Multihome Internet Service Provider, BD
202.44.104.0/21 #AS38011 GBSL-AS-BD GramBangla Systems Limites, Internet and Data Communication, BD
202.59.128.0/20 #AS38017 GLOBAL-TRANSIT-AS-SILBD Route object of Square InformatiX Ltd, BD
43.240.100.0/22 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
103.36.100.0/22 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
103.110.58.0/23 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
103.169.158.0/23 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
116.193.216.0/21 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
202.164.208.0/21 #AS38026 MNBL-TRANSIT-AS-AP MetroNet Bangladesh Limited, Fiber Optic Based Metropolitan Data, BD
202.161.176.0/20 #AS38030 ACCESSTEL-AS-AP Access Telecom BD Ltd., BD
61.247.176.0/20 #AS38031 OPTIMAX-BD-AS-AP OptiMax Communication Ltd., BD
103.245.98.0/23 #AS38031 OPTIMAX-BD-AS-AP OptiMax Communication Ltd., BD
111.221.0.0/21 #AS38031 OPTIMAX-BD-AS-AP OptiMax Communication Ltd., BD
114.134.88.0/21 #AS38031 OPTIMAX-BD-AS-AP OptiMax Communication Ltd., BD
203.112.72.0/21 #AS38031 OPTIMAX-BD-AS-AP OptiMax Communication Ltd., BD
58.65.224.0/24 #AS38054 DHAKATEL-AS-BD Genuity Systems Ltd., BD
58.65.228.0/22 #AS38054 DHAKATEL-AS-BD Genuity Systems Ltd., BD
43.231.20.0/22 #AS38067 RADIANT Radiant Communications Limited, BD
103.14.128.0/22 #AS38067 RADIANT Radiant Communications Limited, BD
103.29.124.0/22 #AS38067 RADIANT Radiant Communications Limited, BD
103.240.44.0/24 #AS38067 RADIANT Radiant Communications Limited, BD
116.12.32.0/21 #AS38067 RADIANT Radiant Communications Limited, BD
120.50.176.0/21 #AS38067 RADIANT Radiant Communications Limited, BD
122.102.32.0/21 #AS38067 RADIANT Radiant Communications Limited, BD
210.1.240.0/20 #AS38067 RADIANT Radiant Communications Limited, BD
192.175.48.1/32 #AS38069 AXIATA-AS-AP Axiata Bangladesh Limited, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
58.147.168.0/21 #AS38071 AFTABIT-BD-AS-AP Aftab IT Limited., BD
223.27.80.0/20 #AS38071 AFTABIT-BD-AS-AP Aftab IT Limited., BD
114.129.12.0/24 #AS38138 INTECHLTD-BD Intech Limited, BD
45.64.164.0/22 #AS38200 BTSNET-AS-BD-AP BTS Communications BD ltd, BD
103.125.252.0/23 #AS38200 BTSNET-AS-BD-AP BTS Communications BD ltd, BD
103.234.24.0/22 #AS38200 BTSNET-AS-BD-AP BTS Communications BD ltd, BD
103.234.164.0/22 #AS38200 BTSNET-AS-BD-AP BTS Communications BD ltd, BD
220.247.160.0/21 #AS38200 BTSNET-AS-BD-AP BTS Communications BD ltd, BD
36.50.18.0/24 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.4.116.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.65.132.0/23 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.81.172.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.155.178.0/23 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.190.204.0/23 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.219.160.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.234.200.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
103.251.120.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
123.253.144.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
157.20.148.0/23 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
163.47.144.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
202.51.176.0/20 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
203.194.116.0/22 #AS38203 ADNTELECOMLTD-BD ADN Telecom Ltd., BD
202.72.232.0/21 #AS38210 RANKSTEL-AS-BD Ranks Telecom Limited, BD
192.175.48.1/32 #AS38212 OPENCOMMUNICATION-AS-AP Open Communication Ltd, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
124.6.224.0/20 #AS38256 NATIONAL-ROUTE-BD-MHK Bengal Group Ltd. Nationwide Internet Service Provider, Bangladesh., BD
103.114.174.0/23 #AS38303 BKASHLIMITED-AS-AP bKash Limited, BD
103.219.114.0/23 #AS38303 BKASHLIMITED-AS-AP bKash Limited, BD
202.126.120.0/21 #AS38313 FUSIONNET-AS-AP Fusion Net Ltd, BD
203.169.24.0/21 #AS38315 GAZICOMM-AS-AP GAZI COMMUNICATIONS A TELEPORT OPERATOR, BD
103.123.8.0/22 #AS38493 ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Communication Limited, BD
103.125.255.0/24 #AS38493 ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Communication Limited, BD
103.151.212.0/23 #AS38493 ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Communication Limited, BD
103.169.104.0/23 #AS38493 ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Communication Limited, BD
123.136.24.0/21 #AS38493 ROYALGREENINCBD-TRANSIT-AS-AP Royal Green Communication Limited, BD
192.175.48.1/32 #AS38555 RADIANT Radiant Communications Ltd, BD - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
116.212.184.0/24 #AS38556 NARAENETWORKS-AS-AP Narae Networks, BD
103.175.127.0/24 #AS38562 IOLBD-AS Innovative Online Limited, BD
103.203.237.0/24 #AS38562 IOLBD-AS Innovative Online Limited, BD
103.253.246.0/23 #AS38562 IOLBD-AS Innovative Online Limited, BD
122.152.48.0/21 #AS38562 IOLBD-AS Innovative Online Limited, BD
151.158.101.0/24 #AS38562 IOLBD-AS Innovative Online Limited, BD
103.168.140.0/24 #AS38588 FIL-AS-AP Felicity IDC Limited, BD
101.2.160.0/21 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
103.5.232.0/22 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
119.10.168.0/21 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
163.47.84.0/22 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
202.65.168.0/21 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
203.80.188.0/22 #AS38592 CTGONLINE-AS-AP Chittagong Online Limited AS38592 AP, BD
103.158.39.0/24 #AS38614 IDS-BD IDS Bangladesh. IP Transit provider. Dhaka, Bangladesh, BD
117.103.80.0/21 #AS38614 IDS-BD IDS Bangladesh. IP Transit provider. Dhaka, Bangladesh, BD
116.212.104.0/21 #AS38712 TELNET-AS-BD-AP Telnet Communication Limited Network and Transit Service Provider. Having Nationwide MPLS Network For Internet and Data Connectivity Through Telnets Own Network Infrastructure, BD
120.50.0.0/19 #AS38712 TELNET-AS-BD-AP Telnet Communication Limited Network and Transit Service Provider. Having Nationwide MPLS Network For Internet and Data Connectivity Through Telnets Own Network Infrastructure, BD
49.0.32.0/20 #AS38744 AONB-AS-AP AlwaysOn Network Bangladesh Ltd, BD
49.0.48.0/24 #AS38744 AONB-AS-AP AlwaysOn Network Bangladesh Ltd, BD
117.58.240.0/21 #AS38744 AONB-AS-AP AlwaysOn Network Bangladesh Ltd, BD
43.245.120.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
43.255.20.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
59.152.0.0/21 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
103.15.164.0/23 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
103.67.156.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
103.239.4.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
103.244.12.0/23 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
103.253.44.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
116.58.200.0/21 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
150.242.104.0/23 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
150.242.106.0/24 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
202.86.216.0/21 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
203.223.92.0/22 #AS45245 BANGLALINK-AS Banglalink Digital Communications Ltd, BD
202.45.159.0/24 #AS45268 NOVOTEL-IGW--AS-BD Novotel Limited, BD
203.201.48.0/24 #AS45268 NOVOTEL-IGW--AS-BD Novotel Limited, BD
117.104.184.0/24 #AS45273 BTRAC-AS-AP Bangla Trac Communications Ltd IGW Operation, BD
202.52.138.0/24 #AS45273 BTRAC-AS-AP Bangla Trac Communications Ltd IGW Operation, BD
202.90.200.0/23 #AS45273 BTRAC-AS-AP Bangla Trac Communications Ltd IGW Operation, BD
115.69.208.0/22 #AS45276 NREACH-AS-AP NReach Net Pvt. Ltd, BD
115.69.212.0/23 #AS45276 NREACH-AS-AP NReach Net Pvt. Ltd, BD
115.69.214.0/24 #AS45276 NREACH-AS-AP NReach Net Pvt. Ltd, BD
123.176.57.0/24 #AS45282 MIRTELECOM-AS-AP Mir Telecom, BD
202.129.192.0/24 #AS45282 MIRTELECOM-AS-AP Mir Telecom, BD
202.129.194.0/23 #AS45282 MIRTELECOM-AS-AP Mir Telecom, BD
103.30.28.0/22 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
119.18.144.0/21 #AS45326 BBTS-AS-AP Broad Band Telecom Services Ltd, BD
