160.119.208.0/23 #AS328144 TOUCH-IT TOUCH-IT, SZ
102.214.160.0/22 #AS328169 AS328169 Swazi Mobile Limited, SZ
165.73.132.0/22 #AS328169 AS328169 Swazi Mobile Limited, SZ
102.203.114.0/23 #AS329095 AFRIMETRO-AS AFRIMETRO INVESTMENTS (PROPRIETARY) LIMITED, SZ
102.215.99.0/24 #AS329095 AFRIMETRO-AS AFRIMETRO INVESTMENTS (PROPRIETARY) LIMITED, SZ
102.67.144.0/22 #AS328628 WANDERPORT Wanderport Swaziland, SZ
41.204.0.0/19 #AS32398 REALIMAGEINTERNET-AS Real Image Internet Autonomous System, SZ
196.28.7.0/24 #AS32398 REALIMAGEINTERNET-AS Real Image Internet Autonomous System, SZ
41.211.32.0/19 #AS327765 SWAZIMTN-LTD Swazi MTN Ltd, SZ
102.36.181.0/24 #AS328531 ESWATINI-REVENUE-AUTHORITY-AS Eswatini Revenue Authority, SZ
102.204.96.0/24 #AS329710 MICRO-IT-SOLUTIONS Micro IT Solutions (Proprietary) Limited, SZ
