91.203.72.0/22 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
178.248.32.0/21 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
185.4.240.0/22 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
185.7.148.0/22 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
188.92.232.0/21 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
194.12.0.0/20 #AS34555 CCS-LEEDS-ASN Unit A, Seacroft Trade Park, GB
5.226.176.0/23 #AS34587 HLM2-AS, GB
5.226.178.0/24 #AS34587 HLM2-AS, GB
5.226.180.0/24 #AS34587 HLM2-AS, GB
5.226.182.0/24 #AS34587 HLM2-AS, GB
81.94.208.0/21 #AS34587 HLM2-AS, GB
81.94.216.0/24 #AS34587 HLM2-AS, GB
178.237.160.0/22 #AS34587 HLM2-AS, GB
178.237.164.0/23 #AS34587 HLM2-AS, GB
178.237.170.0/24 #AS34587 HLM2-AS, GB
178.237.172.0/22 #AS34587 HLM2-AS, GB
185.242.44.0/24 #AS34611 MYSTERE, GB
80.76.208.0/23 #AS34623 NETEGRAL, GB
37.75.232.0/24 #AS34625 OSHS-AS, GB
195.242.236.0/24 #AS34625 OSHS-AS, GB
185.186.5.0/24 #AS34640 NEX-CORP-UK, GB
85.159.80.0/21 #AS34654 IONIC-AS, GB
94.199.24.0/21 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
159.253.48.0/21 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
178.23.160.0/21 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
185.52.196.0/22 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
185.52.220.0/22 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
217.168.144.0/20 #AS34660 IDAQ-AS Dedicated servers, colocation, hosting., GB
195.238.241.0/24 #AS34675 PIH-UK, GB
176.123.59.0/24 #AS34693 CME-AS-LD4-1, GB
80.79.80.0/20 #AS34697 EMERSON-EMA-AS, GB
192.175.48.1/32 #AS34716 ANIX, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS34728 CINVEN, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
85.159.168.0/21 #AS34737 QINETIQ-ISP, GB
193.17.226.0/24 #AS34745 TELEWARE, GB
193.164.252.0/23 #AS34745 TELEWARE, GB
85.159.152.0/21 #AS34746 AXA_INSURANCE, GB
185.188.172.0/22 #AS34790 AS34790, GB
195.162.20.0/23 #AS34790 AS34790, GB
217.72.112.0/20 #AS34790 AS34790, GB
93.174.152.0/21 #AS34816 AEG, GB
185.241.216.0/22 #AS34816 AEG, GB
188.94.104.0/21 #AS34816 AEG, GB
194.246.108.0/24 #AS34816 AEG, GB
176.123.58.0/24 #AS34900 CME-AS-LO2-2, GB
89.222.0.0/20 #AS34914 SYNTEC-AS, GB
89.222.32.0/20 #AS34914 SYNTEC-AS, GB
31.172.240.0/20 #AS34920 SIMPLY-ROMFORD, GB
37.220.96.0/21 #AS34920 SIMPLY-ROMFORD, GB
46.231.112.0/21 #AS34920 SIMPLY-ROMFORD, GB
78.40.32.0/21 #AS34920 SIMPLY-ROMFORD, GB
80.241.48.0/21 #AS34920 SIMPLY-ROMFORD, GB
94.102.144.0/20 #AS34920 SIMPLY-ROMFORD, GB
95.172.0.0/19 #AS34920 SIMPLY-ROMFORD, GB
109.109.224.0/19 #AS34920 SIMPLY-ROMFORD, GB
130.193.80.0/20 #AS34920 SIMPLY-ROMFORD, GB
185.32.200.0/22 #AS34920 SIMPLY-ROMFORD, GB
185.77.64.0/22 #AS34920 SIMPLY-ROMFORD, GB
185.77.80.0/22 #AS34920 SIMPLY-ROMFORD, GB
185.77.172.0/22 #AS34920 SIMPLY-ROMFORD, GB
91.194.151.0/24 #AS34922 NETNAMES, GB
165.160.42.0/24 #AS34922 NETNAMES, GB
185.26.228.0/22 #AS34922 NETNAMES, GB
194.30.189.0/24 #AS34922 NETNAMES, GB
194.60.84.0/23 #AS34930 HAL, GB
85.159.248.0/21 #AS34931 AWARESOFT, GB
89.28.168.0/21 #AS34931 AWARESOFT, GB
149.255.56.0/21 #AS34931 AWARESOFT, GB
185.7.88.0/22 #AS34931 AWARESOFT, GB
185.88.108.0/22 #AS34931 AWARESOFT, GB
194.9.32.0/23 #AS34931 AWARESOFT, GB
45.152.253.0/24 #AS34934 UKFAST, GB
45.152.254.0/24 #AS34934 UKFAST, GB
78.24.89.0/24 #AS34934 UKFAST, GB
192.175.48.1/32 #AS34940 VESK, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
83.137.176.0/21 #AS34967 DRD-AS, GB
185.16.152.0/22 #AS34967 DRD-AS, GB
44.31.109.0/24 #AS34979 THIRTYNINENETWORKS 39d.co.uk, GB
91.204.244.0/22 #AS34979 THIRTYNINENETWORKS 39d.co.uk, GB
185.242.46.0/23 #AS34979 THIRTYNINENETWORKS 39d.co.uk, GB
194.24.166.0/23 #AS34979 THIRTYNINENETWORKS 39d.co.uk, GB
192.175.48.1/32 #AS35069 TIBRA-LD-AS London DC, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
31.22.40.0/21 #AS35071 UK-XOOM-SYSTEMS-AS, GB
185.95.76.0/22 #AS35071 UK-XOOM-SYSTEMS-AS, GB
185.147.208.0/22 #AS35071 UK-XOOM-SYSTEMS-AS, GB
192.175.48.1/32 #AS35082 TALKSTRAIGHT-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.69.104.0/23 #AS35106 MICROSOFT-LIVE-MEETING, GB
192.175.48.1/32 #AS35143 BICOMDOO, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
85.119.56.0/23 #AS35180 HIPCOM-AS, GB
139.177.66.0/23 #AS35180 HIPCOM-AS, GB
185.115.196.0/23 #AS35180 HIPCOM-AS, GB
195.47.250.0/24 #AS35196 IH-TRANSIT-AS, GB
176.123.62.0/24 #AS35200 TRANSITX-LTD, GB
46.233.64.0/18 #AS35228 O2BROADBAND, GB
82.132.128.0/17 #AS35228 O2BROADBAND, GB
87.194.0.0/16 #AS35228 O2BROADBAND, GB
93.97.0.0/16 #AS35228 O2BROADBAND, GB
158.230.0.0/17 #AS35228 O2BROADBAND, GB
158.230.200.0/22 #AS35228 O2BROADBAND, GB
185.79.104.0/22 #AS35228 O2BROADBAND, GB
185.132.84.0/24 #AS35228 O2BROADBAND, GB
92.119.252.0/24 #AS35241 VOSTEL, GB
85.119.248.0/21 #AS35259 APM APM Internet UK Network, GB
46.30.8.0/21 #AS35266 EXN-AS, GB
94.198.168.0/23 #AS35266 EXN-AS, GB
94.198.170.0/24 #AS35266 EXN-AS, GB
185.35.72.0/22 #AS35266 EXN-AS, GB
185.69.12.0/22 #AS35266 EXN-AS, GB
185.81.188.0/22 #AS35266 EXN-AS, GB
185.95.172.0/23 #AS35266 EXN-AS, GB
193.46.61.0/24 #AS35266 EXN-AS, GB
193.104.108.0/24 #AS35266 EXN-AS, GB
195.211.126.0/24 #AS35266 EXN-AS, GB
85.31.136.0/21 #AS35299 ASC2K Classroom 2000, GB
44.30.1.0/24 #AS35327 NAGLOTECH, GB
91.192.208.0/22 #AS35327 NAGLOTECH, GB
193.47.83.0/24 #AS35327 NAGLOTECH, GB
193.200.100.0/23 #AS35327 NAGLOTECH, GB
194.50.80.0/24 #AS35327 NAGLOTECH, GB
87.236.56.0/21 #AS35399 ITIO-AS, GB
5.28.56.0/21 #AS35425 BYTEMARK-AS, GB
5.77.47.0/24 #AS35425 BYTEMARK-AS, GB
5.153.224.0/21 #AS35425 BYTEMARK-AS, GB
46.43.0.0/18 #AS35425 BYTEMARK-AS, GB
80.68.80.0/20 #AS35425 BYTEMARK-AS, GB
89.16.160.0/19 #AS35425 BYTEMARK-AS, GB
91.223.58.0/24 #AS35425 BYTEMARK-AS, GB
109.75.161.0/24 #AS35425 BYTEMARK-AS, GB
109.75.162.0/23 #AS35425 BYTEMARK-AS, GB
109.75.164.0/24 #AS35425 BYTEMARK-AS, GB
185.4.176.0/22 #AS35425 BYTEMARK-AS, GB
185.15.240.0/22 #AS35425 BYTEMARK-AS, GB
185.90.192.0/22 #AS35425 BYTEMARK-AS, GB
193.32.103.0/24 #AS35425 BYTEMARK-AS, GB
194.76.16.0/23 #AS35425 BYTEMARK-AS, GB
194.76.26.0/23 #AS35425 BYTEMARK-AS, GB
212.110.160.0/19 #AS35425 BYTEMARK-AS, GB
213.138.96.0/19 #AS35425 BYTEMARK-AS, GB
213.175.196.0/24 #AS35425 BYTEMARK-AS, GB
213.175.208.0/24 #AS35425 BYTEMARK-AS, GB
213.175.216.0/24 #AS35425 BYTEMARK-AS, GB
45.67.248.0/22 #AS35437 ZONEBROADBAND, GB
193.26.210.0/23 #AS35437 ZONEBROADBAND, GB
193.26.212.0/23 #AS35437 ZONEBROADBAND, GB
192.175.48.1/32 #AS35462 BDX, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS35528 THOMSON-REUTERS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
80.95.48.0/20 #AS35551 ASSIMISIS-AS, GB
194.117.226.0/23 #AS35559 SOMEADDRESS, GB
46.149.240.0/20 #AS35575 VAIONI, GB
84.19.32.0/19 #AS35575 VAIONI, GB
88.211.64.0/18 #AS35575 VAIONI, GB
109.175.213.0/24 #AS35575 VAIONI, GB
163.5.201.0/24 #AS35575 VAIONI, GB
185.25.236.0/22 #AS35575 VAIONI, GB
185.98.188.0/22 #AS35575 VAIONI, GB
185.152.216.0/22 #AS35575 VAIONI, GB
185.190.46.0/23 #AS35575 VAIONI, GB
185.219.92.0/22 #AS35575 VAIONI, GB
185.229.76.0/24 #AS35575 VAIONI, GB
188.127.64.0/19 #AS35575 VAIONI, GB
193.117.56.0/24 #AS35575 VAIONI, GB
193.238.68.0/22 #AS35575 VAIONI, GB
194.15.37.0/24 #AS35575 VAIONI, GB
209.42.0.0/23 #AS35575 VAIONI, GB
209.42.2.0/24 #AS35575 VAIONI, GB
192.175.48.1/32 #AS35662 IOMARTHOSTING European Network, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS35694 SIEMENS-COMMUNICATIONS-SOLUTION-1, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.32.176.0/21 #AS35707 SCOTTISH-POWER-PLC, GB
194.32.188.0/22 #AS35707 SCOTTISH-POWER-PLC, GB
194.32.192.0/24 #AS35707 SCOTTISH-POWER-PLC, GB
194.32.194.0/24 #AS35707 SCOTTISH-POWER-PLC, GB
192.175.48.1/32 #AS35788 FORCEPOINT-CLOUD-AMER-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
193.201.132.0/22 #AS35801 RE-SOURCES-AS, GB
77.91.248.0/21 #AS35825 GUARDIAN-AS, GB
37.1.96.0/21 #AS35826 NETSERVERS-AS, GB
80.248.176.0/20 #AS35826 NETSERVERS-AS, GB
94.229.128.0/20 #AS35826 NETSERVERS-AS, GB
185.113.204.0/22 #AS35826 NETSERVERS-AS, GB
185.229.48.0/22 #AS35826 NETSERVERS-AS, GB
83.245.79.0/24 #AS35831 VNETRIX-AS, GB
84.207.248.0/23 #AS35831 VNETRIX-AS, GB
89.167.181.0/24 #AS35831 VNETRIX-AS, GB
89.167.228.0/24 #AS35831 VNETRIX-AS, GB
94.31.54.0/24 #AS35831 VNETRIX-AS, GB
213.152.251.0/24 #AS35831 VNETRIX-AS, GB
80.249.51.0/24 #AS35832 BGFL, GB
80.249.52.0/24 #AS35832 BGFL, GB
80.249.56.0/24 #AS35832 BGFL, GB
80.249.58.0/24 #AS35832 BGFL, GB
80.249.60.0/23 #AS35832 BGFL, GB
178.255.80.0/21 #AS35838 CCANET, GB
192.250.237.0/24 #AS36218 WHG-CAN, GB
192.250.238.0/24 #AS36218 WHG-CAN, GB
199.103.56.0/23 #AS36218 WHG-CAN, GB
199.103.59.0/24 #AS36218 WHG-CAN, GB
199.103.60.0/22 #AS36218 WHG-CAN, GB
208.69.56.0/22 #AS36218 WHG-CAN, GB
208.88.4.0/22 #AS36218 WHG-CAN, GB
209.42.24.0/23 #AS36218 WHG-CAN, GB
192.175.48.1/32 #AS36287 IIX-BNIIX-RS - IX Reach Ltd, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
65.181.112.0/24 #AS36454 WHG-DAL, GB
65.181.116.0/24 #AS36454 WHG-DAL, GB
65.181.123.0/24 #AS36454 WHG-DAL, GB
65.181.124.0/23 #AS36454 WHG-DAL, GB
65.181.127.0/24 #AS36454 WHG-DAL, GB
69.57.189.0/24 #AS36454 WHG-DAL, GB
69.72.136.0/24 #AS36454 WHG-DAL, GB
162.208.8.0/22 #AS36454 WHG-DAL, GB
170.39.76.0/24 #AS36454 WHG-DAL, GB
185.74.16.0/23 #AS36454 WHG-DAL, GB
185.74.18.0/24 #AS36454 WHG-DAL, GB
185.181.253.0/24 #AS36454 WHG-DAL, GB
185.181.254.0/23 #AS36454 WHG-DAL, GB
190.8.176.0/22 #AS36454 WHG-DAL, GB
192.243.96.0/21 #AS36454 WHG-DAL, GB
192.243.104.0/22 #AS36454 WHG-DAL, GB
192.243.108.0/23 #AS36454 WHG-DAL, GB
192.243.111.0/24 #AS36454 WHG-DAL, GB
192.250.226.0/23 #AS36454 WHG-DAL, GB
192.250.236.0/24 #AS36454 WHG-DAL, GB
194.39.123.0/24 #AS36454 WHG-DAL, GB
194.39.148.0/23 #AS36454 WHG-DAL, GB
195.250.25.0/24 #AS36454 WHG-DAL, GB
198.38.90.0/24 #AS36454 WHG-DAL, GB
199.175.48.0/21 #AS36454 WHG-DAL, GB
87.237.74.0/24 #AS38936 HMUK-AS, GB
192.175.48.1/32 #AS38973 TWANG-AS Timico Ltd Legacy Twang.net ASN, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
109.94.136.0/21 #AS39060 SAINSBURYS-NET, GB
176.57.249.0/24 #AS39097 MAINTEL-LTD-UK, GB
176.57.250.0/23 #AS39097 MAINTEL-LTD-UK, GB
176.57.252.0/22 #AS39097 MAINTEL-LTD-UK, GB
185.181.144.0/22 #AS39097 MAINTEL-LTD-UK, GB
195.60.196.0/23 #AS39097 MAINTEL-LTD-UK, GB
81.16.216.0/22 #AS39103 AS_MOAT, GB
46.254.192.0/21 #AS39116 TELEHOUSE, GB
85.90.32.0/19 #AS39116 TELEHOUSE, GB
212.31.128.0/19 #AS39116 TELEHOUSE, GB
192.175.48.1/32 #AS39139 MENZIES-AVIATION-PLC-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS39148 NET1000-AS, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
91.196.137.0/24 #AS39150 HOSTING-TELECOM-AS, GB
195.182.8.0/24 #AS39150 HOSTING-TELECOM-AS, GB
91.236.190.0/23 #AS39173 IFDS-AS, GB
195.88.228.0/23 #AS39173 IFDS-AS, GB
93.95.211.0/24 #AS39175 CONNECTIVE, GB
139.28.108.0/22 #AS39175 CONNECTIVE, GB
154.60.88.0/23 #AS39175 CONNECTIVE, GB
176.110.108.0/24 #AS39175 CONNECTIVE, GB
185.249.36.0/22 #AS39175 CONNECTIVE, GB
194.48.155.0/24 #AS39175 CONNECTIVE, GB
81.20.48.0/20 #AS39202 GCAP-AS, GB
194.107.248.0/22 #AS39208 IPILIMITED, GB
195.246.204.0/22 #AS39208 IPILIMITED, GB
192.175.48.1/32 #AS39215 TRANSTELLIGENCE, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
37.46.200.0/21 #AS39326 HSO-GROUP, GB
37.235.54.0/23 #AS39326 HSO-GROUP, GB
46.17.56.0/21 #AS39326 HSO-GROUP, GB
51.149.9.0/24 #AS39326 HSO-GROUP, GB
51.149.10.0/23 #AS39326 HSO-GROUP, GB
77.75.104.0/21 #AS39326 HSO-GROUP, GB
80.71.0.0/19 #AS39326 HSO-GROUP, GB
89.248.16.0/20 #AS39326 HSO-GROUP, GB
93.89.80.0/20 #AS39326 HSO-GROUP, GB
151.170.0.0/16 #AS39326 HSO-GROUP, GB
151.236.19.0/24 #AS39326 HSO-GROUP, GB
185.51.172.0/22 #AS39326 HSO-GROUP, GB
185.75.28.0/22 #AS39326 HSO-GROUP, GB
188.190.5.0/24 #AS39326 HSO-GROUP, GB
192.121.112.0/23 #AS39326 HSO-GROUP, GB
194.0.77.0/24 #AS39326 HSO-GROUP, GB
194.0.78.0/23 #AS39326 HSO-GROUP, GB
194.34.204.0/24 #AS39326 HSO-GROUP, GB
194.34.206.0/23 #AS39326 HSO-GROUP, GB
194.34.213.0/24 #AS39326 HSO-GROUP, GB
195.90.120.0/23 #AS39326 HSO-GROUP, GB
195.238.232.0/24 #AS39326 HSO-GROUP, GB
217.196.224.0/19 #AS39326 HSO-GROUP, GB
77.111.252.0/22 #AS39356 AVANTI-UK-AS, GB
88.210.128.0/18 #AS39356 AVANTI-UK-AS, GB
164.215.108.0/24 #AS39356 AVANTI-UK-AS, GB
185.68.233.0/24 #AS39356 AVANTI-UK-AS, GB
188.164.0.0/17 #AS39356 AVANTI-UK-AS, GB
196.47.95.0/24 #AS39356 AVANTI-UK-AS, GB
159.255.200.0/21 #AS39382 OPTINIUMWH-AS, GB
195.234.116.0/22 #AS39382 OPTINIUMWH-AS, GB
45.131.88.0/23 #AS39389 GTRL, GB
45.131.90.0/24 #AS39389 GTRL, GB
156.61.0.0/16 #AS39400 LBH-AS County Council, GB
193.93.32.0/22 #AS39414 BYTEFETCH, GB
93.189.0.0/21 #AS39458 REALHOSTS-AS, GB
185.85.84.0/22 #AS39458 REALHOSTS-AS, GB
193.34.78.0/24 #AS39458 REALHOSTS-AS, GB
195.60.164.0/24 #AS39459 PGL-AS, GB
192.149.117.0/24 #AS39461 BE-AS, GB
89.255.208.0/22 #AS39520 SD-TECHOPS-NL, GB
45.138.222.0/23 #AS39522 CONVERGED, GB
89.104.224.0/19 #AS39522 CONVERGED, GB
185.248.64.0/22 #AS39522 CONVERGED, GB
193.36.33.0/24 #AS39522 CONVERGED, GB
193.108.80.0/22 #AS39522 CONVERGED, GB
194.26.19.0/24 #AS39522 CONVERGED, GB
195.90.108.0/23 #AS39522 CONVERGED, GB
185.255.232.0/22 #AS39530 PARKER, GB
31.210.128.0/21 #AS39537 HNS www.hns.net, GB
37.35.88.0/21 #AS39537 HNS www.hns.net, GB
45.145.180.0/22 #AS39537 HNS www.hns.net, GB
87.237.64.0/21 #AS39537 HNS www.hns.net, GB
91.207.50.0/23 #AS39537 HNS www.hns.net, GB
93.95.8.0/21 #AS39537 HNS www.hns.net, GB
94.190.240.0/21 #AS39537 HNS www.hns.net, GB
94.199.184.0/21 #AS39537 HNS www.hns.net, GB
109.69.80.0/21 #AS39537 HNS www.hns.net, GB
151.236.208.0/21 #AS39537 HNS www.hns.net, GB
185.49.236.0/22 #AS39537 HNS www.hns.net, GB
185.68.0.0/22 #AS39537 HNS www.hns.net, GB
185.71.24.0/22 #AS39537 HNS www.hns.net, GB
185.105.64.0/22 #AS39537 HNS www.hns.net, GB
185.122.216.0/22 #AS39537 HNS www.hns.net, GB
185.202.115.0/24 #AS39537 HNS www.hns.net, GB
195.94.112.0/20 #AS39537 HNS www.hns.net, GB
46.247.0.0/19 #AS39545 FLUIDATA, GB
46.247.110.0/23 #AS39545 FLUIDATA, GB
46.247.112.0/20 #AS39545 FLUIDATA, GB
77.89.128.0/18 #AS39545 FLUIDATA, GB
89.105.96.0/19 #AS39545 FLUIDATA, GB
158.179.64.0/18 #AS39550 KPMG-UK-LLP-AS, GB
158.180.128.0/19 #AS39550 KPMG-UK-LLP-AS, GB
158.180.192.0/19 #AS39550 KPMG-UK-LLP-AS, GB
163.170.128.0/20 #AS39552 AHR-AS, GB
163.170.144.0/23 #AS39552 AHR-AS, GB
195.191.164.0/24 #AS39576 PROSTACK-HOSTING, GB
193.200.176.0/24 #AS39584 LGIM, GB
194.63.66.0/23 #AS39584 LGIM, GB
194.63.68.0/23 #AS39584 LGIM, GB
41.74.203.0/24 #AS39588 MIMECAST-DE, GB
51.163.158.0/23 #AS39588 MIMECAST-DE, GB
62.140.7.0/24 #AS39588 MIMECAST-DE, GB
62.140.10.0/24 #AS39588 MIMECAST-DE, GB
147.28.34.0/23 #AS39588 MIMECAST-DE, GB
170.10.142.0/24 #AS39588 MIMECAST-DE, GB
194.104.108.0/22 #AS39588 MIMECAST-DE, GB
216.145.218.0/24 #AS39588 MIMECAST-DE, GB
216.145.222.0/24 #AS39588 MIMECAST-DE, GB
195.244.28.0/23 #AS39592 IGX0-AS, GB
109.71.76.0/24 #AS39602 TCG-AS The Cent.re Group Limited, GB
195.210.38.0/23 #AS39602 TCG-AS The Cent.re Group Limited, GB
195.246.228.0/23 #AS39610 LCH-CLEARNET, GB
194.50.88.0/24 #AS39617 CONSULTANCY-ASN, GB
81.29.48.0/20 #AS39620 NGBAILEYIT-UK, GB
91.194.70.0/23 #AS39621 STREAMUK-AS, GB
194.50.90.0/24 #AS39621 STREAMUK-AS, GB
80.238.0.0/19 #AS39627 BSKYB, GB
130.0.0.0/21 #AS39630 ASPTECH, GB
88.211.24.0/22 #AS39633 PITCORE, GB
88.211.28.0/24 #AS39633 PITCORE, GB
195.12.36.0/24 #AS39715 PLATINUMHEDGEHOG, GB
194.50.121.0/24 #AS39717 POLESTAR-AS, GB
178.250.176.0/21 #AS39730 EIRCOM-UK, GB
185.195.132.0/22 #AS39730 EIRCOM-UK, GB
78.158.72.0/21 #AS39767 SARGASSO-AS Sargasso Networks UK operations, GB
78.158.80.0/20 #AS39767 SARGASSO-AS Sargasso Networks UK operations, GB
185.90.140.0/22 #AS39767 SARGASSO-AS Sargasso Networks UK operations, GB
194.88.12.0/23 #AS39767 SARGASSO-AS Sargasso Networks UK operations, GB
89.106.128.0/21 #AS39846 ONEGA, GB
194.127.255.0/24 #AS39846 ONEGA, GB
194.140.224.0/24 #AS39846 ONEGA, GB
194.140.229.0/24 #AS39846 ONEGA, GB
194.140.237.0/24 #AS39846 ONEGA, GB
80.247.16.0/20 #AS39875 W3Z, GB
185.147.108.0/22 #AS39875 W3Z, GB
46.31.224.0/21 #AS39884 VOIPFONE-AS, GB
185.75.92.0/22 #AS39884 VOIPFONE-AS, GB
195.189.172.0/23 #AS39884 VOIPFONE-AS, GB
72.21.36.0/22 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
147.75.24.0/22 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
159.135.80.0/20 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
159.135.128.0/18 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
185.16.216.0/22 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
185.205.104.0/22 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
192.68.42.0/24 #AS39921 DE-RACKSPACE Frankfurt, Germany, GB
192.175.48.1/32 #AS40550 IIX-GTIIX-RS - IX Reach Ltd, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS40897 IIX-OKIIX-RS - IX Reach Ltd, GB - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.50.30.0/23 #AS40992 MAREX, GB
194.50.32.0/24 #AS40992 MAREX, GB
37.61.232.0/21 #AS41000 FREETHOUGHT-AS, GB
45.132.24.0/24 #AS41000 FREETHOUGHT-AS, GB
176.74.16.0/21 #AS41000 FREETHOUGHT-AS, GB
185.86.108.0/22 #AS41000 FREETHOUGHT-AS, GB
185.176.248.0/22 #AS41000 FREETHOUGHT-AS, GB
185.219.236.0/22 #AS41000 FREETHOUGHT-AS, GB
193.23.224.0/24 #AS41000 FREETHOUGHT-AS, GB
193.33.178.0/23 #AS41000 FREETHOUGHT-AS, GB
194.110.243.0/24 #AS41000 FREETHOUGHT-AS, GB
195.170.173.0/24 #AS41000 FREETHOUGHT-AS, GB
91.103.32.0/23 #AS41012 THECLOUD, GB
94.119.32.0/21 #AS41012 THECLOUD, GB
94.119.40.0/23 #AS41012 THECLOUD, GB
94.119.44.0/22 #AS41012 THECLOUD, GB
94.119.48.0/20 #AS41012 THECLOUD, GB
94.119.64.0/18 #AS41012 THECLOUD, GB
94.119.128.0/18 #AS41012 THECLOUD, GB
94.119.255.0/24 #AS41012 THECLOUD, GB
194.42.124.0/23 #AS41012 THECLOUD, GB
89.107.46.0/23 #AS41021 EBYR-HOWDEN-AS, GB
37.139.133.0/24 #AS41095 IPTP, GB
37.139.134.0/24 #AS41095 IPTP, GB
45.116.8.0/22 #AS41095 IPTP, GB
45.195.26.0/23 #AS41095 IPTP, GB
45.198.2.0/24 #AS41095 IPTP, GB
45.248.201.0/24 #AS41095 IPTP, GB
45.248.202.0/23 #AS41095 IPTP, GB
64.4.169.0/24 #AS41095 IPTP, GB
87.239.184.0/21 #AS41095 IPTP, GB
88.216.199.0/24 #AS41095 IPTP, GB
91.194.117.0/24 #AS41095 IPTP, GB
98.158.96.0/21 #AS41095 IPTP, GB
98.158.104.0/22 #AS41095 IPTP, GB
98.158.108.0/24 #AS41095 IPTP, GB
98.158.110.0/23 #AS41095 IPTP, GB
103.6.128.0/22 #AS41095 IPTP, GB
103.23.168.0/22 #AS41095 IPTP, GB
103.84.168.0/23 #AS41095 IPTP, GB
103.217.160.0/22 #AS41095 IPTP, GB
103.242.72.0/22 #AS41095 IPTP, GB
104.254.124.0/22 #AS41095 IPTP, GB
138.204.14.0/24 #AS41095 IPTP, GB
154.193.186.0/23 #AS41095 IPTP, GB
154.196.252.0/24 #AS41095 IPTP, GB
154.205.0.0/23 #AS41095 IPTP, GB
156.227.144.0/24 #AS41095 IPTP, GB
156.227.245.0/24 #AS41095 IPTP, GB
156.231.56.0/23 #AS41095 IPTP, GB
156.249.134.0/24 #AS41095 IPTP, GB
156.253.184.0/23 #AS41095 IPTP, GB
169.239.20.0/22 #AS41095 IPTP, GB
172.96.0.0/24 #AS41095 IPTP, GB
176.56.160.0/24 #AS41095 IPTP, GB
176.56.170.0/23 #AS41095 IPTP, GB
176.56.173.0/24 #AS41095 IPTP, GB
176.56.175.0/24 #AS41095 IPTP, GB
176.56.176.0/20 #AS41095 IPTP, GB
185.65.172.0/23 #AS41095 IPTP, GB
185.65.175.0/24 #AS41095 IPTP, GB
193.33.70.0/23 #AS41095 IPTP, GB
193.164.198.0/24 #AS41095 IPTP, GB
196.61.128.0/18 #AS41095 IPTP, GB
208.91.191.0/24 #AS41095 IPTP, GB
220.158.132.0/23 #AS41095 IPTP, GB
193.9.15.0/24 #AS41099 GLOBALREACH, GB
193.9.29.0/24 #AS41099 GLOBALREACH, GB
193.9.255.0/24 #AS41099 GLOBALREACH, GB
193.16.0.0/24 #AS41099 GLOBALREACH, GB
195.10.209.0/24 #AS41099 GLOBALREACH, GB
195.10.222.0/24 #AS41099 GLOBALREACH, GB
185.91.100.0/22 #AS41103 CLEARIP-AS teleBIZZ Ltd, GB
