41.76.40.0/21 #AS30999 EMTEL-ASN Emtel is Mobile and Internet Service Provider in Mauritius, MU
102.160.0.0/14 #AS30999 EMTEL-ASN Emtel is Mobile and Internet Service Provider in Mauritius, MU
105.235.144.0/20 #AS30999 EMTEL-ASN Emtel is Mobile and Internet Service Provider in Mauritius, MU
154.71.0.0/19 #AS30999 EMTEL-ASN Emtel is Mobile and Internet Service Provider in Mauritius, MU
196.192.80.0/22 #AS30999 EMTEL-ASN Emtel is Mobile and Internet Service Provider in Mauritius, MU
196.192.64.0/21 #AS328623 VGR-COMMUNICATIONS VGR Communications Ltd, MU
196.207.48.0/20 #AS328623 VGR-COMMUNICATIONS VGR Communications Ltd, MU
196.1.0.0/24 #AS37708 AFRINIC-MAIN African Network Information Center - (AfriNIC) Ltd, MU
196.192.112.0/23 #AS37708 AFRINIC-MAIN African Network Information Center - (AfriNIC) Ltd, MU
196.192.140.0/24 #AS37708 AFRINIC-MAIN African Network Information Center - (AfriNIC) Ltd, MU
196.192.143.0/24 #AS37708 AFRINIC-MAIN African Network Information Center - (AfriNIC) Ltd, MU
41.87.96.0/19 #AS37100 SEACOM-AS SEACOM Limited, MU
41.206.96.0/19 #AS37100 SEACOM-AS SEACOM Limited, MU
41.207.232.0/22 #AS37100 SEACOM-AS SEACOM Limited, MU
41.217.212.0/22 #AS37100 SEACOM-AS SEACOM Limited, MU
102.221.24.0/22 #AS37100 SEACOM-AS SEACOM Limited, MU
105.16.0.0/12 #AS37100 SEACOM-AS SEACOM Limited, MU
154.72.240.0/20 #AS37100 SEACOM-AS SEACOM Limited, MU
196.6.170.0/23 #AS37100 SEACOM-AS SEACOM Limited, MU
196.6.172.0/24 #AS37100 SEACOM-AS SEACOM Limited, MU
41.198.80.0/22 #AS37379 IWAYAFRICA-AS37379 IWAYAFRICA-AS37379, MU
102.214.100.0/24 #AS37722 KALDERA Kaldera Ltd, MU
102.214.102.0/23 #AS37722 KALDERA Kaldera Ltd, MU
169.255.160.0/23 #AS37722 KALDERA Kaldera Ltd, MU
169.255.163.0/24 #AS37722 KALDERA Kaldera Ltd, MU
196.2.3.0/24 #AS33764 AFRINIC-ZA-JNB-AS African Network Information Center - (AfriNIC) Ltd, MU
196.192.114.0/23 #AS33764 AFRINIC-ZA-JNB-AS African Network Information Center - (AfriNIC) Ltd, MU
196.192.141.0/24 #AS33764 AFRINIC-ZA-JNB-AS African Network Information Center - (AfriNIC) Ltd, MU
196.216.2.0/23 #AS33764 AFRINIC-ZA-JNB-AS African Network Information Center - (AfriNIC) Ltd, MU
196.192.124.0/24 #AS37301 AFRINIC-ZA-CPT-AS African Network Information Center - (AfriNIC) Ltd, MU
102.218.128.0/24 #AS5536 LEGACY Xyberdata, MU
102.218.130.0/24 #AS5536 LEGACY Xyberdata, MU
102.219.22.0/24 #AS5536 LEGACY Xyberdata, MU
102.220.125.0/24 #AS5536 LEGACY Xyberdata, MU
102.68.112.0/21 #AS37662 WIOCC West Indian Ocean Company, MU
102.134.16.0/21 #AS37662 WIOCC West Indian Ocean Company, MU
102.204.16.0/22 #AS37662 WIOCC West Indian Ocean Company, MU
102.209.28.0/23 #AS37662 WIOCC West Indian Ocean Company, MU
102.209.31.0/24 #AS37662 WIOCC West Indian Ocean Company, MU
102.211.0.0/22 #AS37662 WIOCC West Indian Ocean Company, MU
154.66.240.0/21 #AS37662 WIOCC West Indian Ocean Company, MU
196.250.232.0/23 #AS37662 WIOCC West Indian Ocean Company, MU
196.250.234.0/24 #AS37662 WIOCC West Indian Ocean Company, MU
196.250.236.0/23 #AS37662 WIOCC West Indian Ocean Company, MU
196.250.239.0/24 #AS37662 WIOCC West Indian Ocean Company, MU
41.207.128.0/21 #AS36868 ADB ADB Networks Limited, MU
41.207.138.0/24 #AS36868 ADB ADB Networks Limited, MU
41.207.144.0/20 #AS36868 ADB ADB Networks Limited, MU
41.211.64.0/24 #AS36868 ADB ADB Networks Limited, MU
41.211.67.0/24 #AS36868 ADB ADB Networks Limited, MU
41.211.69.0/24 #AS36868 ADB ADB Networks Limited, MU
41.211.72.0/23 #AS36868 ADB ADB Networks Limited, MU
41.211.80.0/20 #AS36868 ADB ADB Networks Limited, MU
196.22.144.0/20 #AS36868 ADB ADB Networks Limited, MU
196.46.32.0/20 #AS36868 ADB ADB Networks Limited, MU
196.46.48.0/21 #AS36868 ADB ADB Networks Limited, MU
196.46.56.0/23 #AS36868 ADB ADB Networks Limited, MU
196.46.59.0/24 #AS36868 ADB ADB Networks Limited, MU
196.46.60.0/22 #AS36868 ADB ADB Networks Limited, MU
102.223.206.0/23 #AS328701 EFT-CORPORATION-AS EFT Corporation Ltd, MU
41.242.144.0/21 #AS327914 MPLS-EMEA Millenium Outsourcing Ltd, MU
102.215.96.0/24 #AS329069 CFSL1-AS CIM Financial Services Limited, MU
41.136.0.0/16 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
41.212.128.0/17 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
41.223.220.0/22 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
102.112.0.0/13 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.8.225.0/24 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.20.128.0/17 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.27.64.0/19 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.192.0.0/20 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.192.96.0/20 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.251.148.0/22 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
197.224.0.0/14 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
202.60.0.0/21 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
202.123.0.0/19 #AS23889 MAURITIUS-TELECOM-AS-AP MAURITIUS TELECOM, MU
196.216.168.0/24 #AS37177 AFRINIC-ANYCAST African Network Information Center - (AfriNIC) Ltd, MU
41.173.184.0/22 #AS21280 SWIFTGLOBAL-AS Swift Global Kenya Ltd., MU
102.209.96.0/22 #AS328019 ATCOMM-BROADBAND-SERVICES-LTD Atcomm Broadband Services Ltd, MU
169.239.140.0/22 #AS328019 ATCOMM-BROADBAND-SERVICES-LTD Atcomm Broadband Services Ltd, MU
80.67.128.0/20 #AS37455 BHARAT-TEL Bharat Telecom Ltd, MU
197.242.184.0/21 #AS37455 BHARAT-TEL Bharat Telecom Ltd, MU
41.222.96.0/21 #AS37622 MTML-AS MTML MAURITIUS, MU
41.223.76.0/22 #AS37622 MTML-AS MTML MAURITIUS, MU
102.131.48.0/21 #AS37622 MTML-AS MTML MAURITIUS, MU
154.65.8.0/22 #AS37622 MTML-AS MTML MAURITIUS, MU
